caso,rotulo,eps_kgf,W0_kgf,Wf_kgf,b_w,g_min,viavel,n_objfun,tempo_s,sucesso,S_w,AR_w,sweep_w,xr_w,Cht,Lc_h,Cvt,Lb_v,x_mlg,y_mlg,z_lg
base,letra E (roteiro),98906.94570757754,276383.8996277167,98906.94571073937,64.89999997844777,-5.505951250484031e-10,True,6198,38.34639310836792,False,388.42275069243743,10.843880770870932,0.6061010799334993,18.727645414765362,0.7000000000997953,4.894880103721242,0.06502153046795002,0.5029362417187491,32.23798143143177,6.949999997642112,-5.671105653256616
base,letra E (roteiro),98915.6090740536,276368.3985446757,98915.60907405366,64.84219604097746,-2.220446049250313e-15,True,96,1.0160737037658691,True,388.26673877814954,10.828922406920244,0.6069524030208525,18.71489833314359,0.7,4.89298412400396,0.06504171629237247,0.503458901892276,32.2371102890516,6.95,-5.671259259617828
base,letra E (roteiro),98924.27244052966,276355.0896362299,98924.27244052965,64.78867051010928,-4.218847493575595e-15,True,96,1.0166137218475342,True,388.12344916414094,10.81504308875786,0.6077430955038502,18.70302869147904,0.7,4.891213857119257,0.06506004330542245,0.5039440968067253,32.23630166163871,6.95,-5.6714018424480575
base,letra E (roteiro),98932.93580700572,276343.55944316834,98932.93580700569,64.73861706143168,-3.552713678800501e-15,True,96,1.0326588153839111,True,387.99048309281864,10.802039538748332,0.6084845761677135,18.691871163108516,0.7,4.889545636714923,0.0650768615239611,0.5043988847132768,32.23554376520602,6.949999999999996,-5.6715354800377265
base,letra E (roteiro),98941.59917348177,276333.51002722763,98941.59917348169,64.69145460375229,-9.992007221626409e-15,True,85,0.8924553394317627,True,387.8661119150922,10.789765257103664,0.6091850747109024,18.681306598156898,0.7,4.8879624048020816,0.0650924232479522,0.5048283524759922,32.23482810692588,6.95,-5.6716616699014795
base,letra E (roteiro),98950.26253995782,276324.71828171774,98950.26253995784,64.64674796781831,-7.105427357601002e-15,True,85,0.8946235179901123,True,387.7490411155174,10.77811052940699,0.6098507545457451,18.67124576572606,0.7,4.886451386072636,0.06510691743743102,0.5052363096822771,32.23414832673902,6.95,-5.67178153348938
base,letra E (roteiro),98958.92590643388,276317.011996583,98958.92591017911,64.6041612264313,-3.4634517476206383e-11,True,84,0.8780035972595215,True,387.63827142921326,10.766990659571368,0.6104863737492342,18.661619783155288,0.7,4.885002718008737,0.06512048997231429,0.5056256972214935,32.23349951508047,6.95,-5.671895936490162
base,letra E (roteiro),98967.58927290994,276310.25496579515,98967.58927472231,64.5634287025932,-1.6634582600261183e-11,True,84,0.8728673458099365,True,387.53301258478876,10.756338661400667,0.6110956955781771,18.652374171746693,0.7,4.883608600031391,0.06513325623616809,0.505998841050959,32.232877789128615,6.9499999999999975,-5.672005563550089
base,letra E (roteiro),98976.252639386,276304.337236242,98976.25264029948,64.52433587340053,-8.425926623090163e-12,True,84,0.8773844242095947,True,387.4326264920416,10.746100444870315,0.6116817588637368,18.643464941518815,0.7,4.8822627330887665,0.06514530940428882,0.5063576193399126,32.232280013718906,6.9499999999999975,-5.672110967483219
base,letra E (roteiro),98984.91600586206,276299.1685433876,98984.91600633864,64.48670663508867,-4.438782674753838e-12,True,84,0.871638298034668,True,387.3365893530867,10.736231605656982,0.6122470583432696,18.634855980041166,0.7,4.8809599458758495,0.06515672597210159,0.5067035739444465,32.23170361518343,6.949999999999998,-5.672212602096676
base,letra E (roteiro),98993.5793723381,276294.67369953,98993.57937258315,64.45039428849009,-2.2256640974660513e-12,True,84,0.8749597072601318,True,387.24446484371066,10.726695152681664,0.6127936723119705,18.62651720416116,0.7,4.879695930262702,0.06516756966798164,0.507037989312691,32.23114644961856,6.949999999999998,-5.672310845418481
base,letra E (roteiro),99002.24273881417,276290.7892884672,99002.24273895133,64.41527509371792,-1.266431404189916e-12,True,84,0.8735277652740479,True,387.1558849383499,10.717459883271797,0.6133233538933904,18.618423238459506,0.7,4.878467052119688,0.06517789425122344,0.5073619489039999,32.23060670867275,6.95,-5.6724060163098216
base,letra E (roteiro),99010.90610529023,276287.46123724093,99010.90610535859,64.38124353511907,-6.388223283693151e-13,True,84,0.8662843704223633,True,387.0705358235049,10.708499189456024,0.6138375980938251,18.610552444389228,0.7,4.877270212336338,0.06518774556756445,0.5076763766364084,32.23008285034669,6.949999999999998,-5.672498386666774
base,letra E (roteiro),99019.56947176628,276284.6429960982,99019.56947180617,64.34820877158913,-3.5715874702191286e-13,True,84,0.872488260269165,True,386.98814733751453,10.69979016308395,0.6143376920708695,18.602886192443528,0.7,4.876102742627087,0.06519716309028561,0.5079820679598689,32.22957354710721,6.95,-5.672588190569258
base,letra E (roteiro),99028.23283824234,276282.29415043676,99028.23283826395,64.31609192980753,-4.2787995369053533e-13,True,84,0.8771555423736572,True,386.9084849181903,10.69131291343509,0.6148247534663416,18.595408307159566,0.7,4.87496232608068,0.06520618109532748,0.5082797135503128,32.22907764632948,6.95,-5.67267563125613
base,letra E (roteiro),99036.8962047184,276280.37934552424,99036.89620473154,64.28482400689795,-1.270095140171179e-13,True,84,0.8943014144897461,True,386.8313433635232,10.68305003846161,0.6152997601094421,18.58810463706552,0.7,4.8738469355921525,0.06521482957189415,0.5085699176696948,32.22859413964215,6.95,-5.672760886530455
base,letra E (roteiro),99045.55957119446,276278.86744204414,99045.5595712023,64.2543442235343,-6.983302824892235e-14,True,84,0.9101641178131104,True,386.756541932453,10.674986209586857,0.6157635733407759,18.580962716999554,0.7,4.872754785519154,0.06522313493749989,0.5088532125827119,32.22812213886088,6.95,-5.672844113003109
base,letra E (roteiro),99054.2229376705,276277.73084459646,99054.22293767444,64.22459871420155,-3.5416114485542494e-14,True,84,0.8977642059326172,True,386.68392044864515,10.667107841501329,0.6162169565619076,18.57397149954798,0.7,4.871684293233103,0.06523112060667219,0.5091300700225385,32.22766085684206,6.9499999999999975,-5.672925449468744
base,letra E (roteiro),99062.88630414657,276276.9449617532,99062.88630414866,64.19553947403743,-3.963496197911809e-14,True,84,0.868438720703125,True,386.6133361676318,10.659402826641868,0.6166605901515594,18.567121139097853,0.7,4.870634048201613,0.06523880744823919,0.509400910410392,32.22720959209321,6.95,-5.673005019619407
base,letra E (roteiro),99071.54967062263,276276.4877674867,99071.54967062389,64.16712350340282,-1.2212453270876722e-14,True,84,0.8673350811004639,True,386.54466123214314,10.651860319519958,0.6170950835813365,18.560402816432646,0.7,4.869602786875076,0.06524621415679946,0.5096661103442358,32.22676771627018,6.95,-5.673082934249132
base,letra E (roteiro),99080.21303709869,276276.33944161556,99080.21303709962,64.1393121065255,-2.708944180085382e-14,True,84,0.8844349384307861,True,386.4777805858072,10.644470559892682,0.6175209853497251,18.5538085949162,0.7,4.868589372095909,0.06525335755727685,0.5099260087388154,32.22633466392651,6.9499999999999975,-5.6731592930613814
letraF,letra F (teto relaxado),98857.0638506937,276664.28020175564,98857.0638519515,65.60554256266053,-1.0341727474383333e-11,True,212,2.258208751678467,True,390.42986909200033,11.023970130540533,0.5959212663300302,18.877461966727026,0.7,4.916736939061267,0.06474351809069001,0.49666433183380426,32.24844471464231,6.95,-5.669260694581899
letraF,letra F (teto relaxado),98868.22131001395,276509.9273983352,98868.22131001565,65.26906278696846,-2.398081733190338e-14,True,108,1.1725153923034668,True,389.44933315229406,10.93865156375384,0.6007278738339846,18.807320409847502,0.7,4.9066051829689155,0.06488323712196535,0.49963097783119126,32.24349291029736,6.95,-5.670133831284552
letraF,letra F (teto relaxado),98879.3787693342,276457.4268652585,98879.37877245934,65.13115272736046,-2.8948954344798494e-11,True,96,1.0623278617858887,True,389.0596239024293,10.903385483811103,0.6027231961548711,18.77788998888429,0.7,4.902299988242361,0.06493679046609359,0.5008597015966304,32.241443467305785,6.95,-5.670495203379384
letraF,letra F (teto relaxado),98890.53622865444,276421.6825342748,98890.53622875149,65.02592093413672,-9.386935673205699e-13,True,96,1.0214455127716064,True,388.76712906065785,10.876357791743404,0.6042557384774647,18.755159953565926,0.7,4.898954036728724,0.06497615790658662,0.5018023725056994,32.239871623055315,6.95,-5.6707723619302195
letraF,letra F (teto relaxado),98901.6936879747,276394.6079282487,98901.69368798021,64.9376010197119,-5.6066262743570405e-14,True,96,1.0651395320892334,True,388.524938559048,10.853594216718228,0.6055487286392643,18.735897789033885,0.7,4.8961046711239415,0.06500818170569898,0.5025969859696622,32.238546932765786,6.95,-5.671005940569351
letraF,letra F (teto relaxado),98912.85114729495,276373.07135285664,98912.85114729533,64.86008652413834,-3.4638958368304884e-14,True,96,1.0026559829711914,True,388.31488450539723,10.83355542571338,0.6066886312329378,18.718851482763267,0.7,4.893572683169658,0.06503551226292709,0.503296991207158,32.23738014460312,6.949999999999998,-5.671211676803199
