caso,rotulo,eps_kgf,W0_kgf,Wf_kgf,b_w,g_min,viavel,n_objfun,tempo_s,sucesso,S_w,AR_w,sweep_w,xr_w,Cht,Lc_h,Cvt,Lb_v,x_mlg,y_mlg,z_lg
letraF,letra F (teto relaxado),99080.21303709869,276276.3394416156,99080.21303709962,64.1393121065255,-2.7089441800853823e-14,True,84,0.9080088138580322,True,386.4777805858072,10.644470559892682,0.6175209853497251,18.5538085949162,0.7,4.868589372095909,0.0652533575572768,0.5099260087388154,32.22633466392651,6.9499999999999975,-5.673159293061381
letraF,letra F (teto relaxado),98968.6384438962,276309.495594176,98968.63844558867,64.55861094891833,-1.560573892334105e-11,True,84,0.8997209072113037,True,387.52060743353496,10.755077711237936,0.6111678540598031,18.65127810690104,0.7,4.883443154024272,0.0651347522180542,0.5060430217284967,32.23280417714566,6.95,-5.672018543328788
letraF,letra F (teto relaxado),98857.0638506937,276664.28020175564,98857.0638519515,65.60554256266053,-1.0341727474383332e-11,True,212,2.258208751678467,True,390.42986909200033,11.023970130540532,0.5959212663300302,18.877461966727022,0.7,4.916736939061267,0.06474351809069,0.4966643318338042,32.24844471464231,6.95,-5.669260694581899
