valido,f1,f2,W0_kgf,Wf_kgf,S_w,AR_w,sweep_w,xr_w,Cht,Lc_h,Cvt,Lb_v,x_mlg,y_mlg,z_lg,g_landing,g_SM_fwd,g_SM_aft,g_SM_aft_max,g_nlg_fwd,g_nlg_aft,g_tipback,g_tailstrike,g_overturn,g_tank,g_span,g_wheelspan,g_height,g_thrust,g_CLv,g_gear_te,g_gear_spar,g_vt_te,g_ht_te,raw_W0,raw_W_empty,raw_W_fuel,raw_T0,raw_T0req,raw_deltaS_wlan,raw_S_w,raw_SM_fwd,raw_SM_aft,raw_CLv,raw_tank_excess,raw_frac_nlg_fwd,raw_frac_nlg_aft,raw_alpha_tipback,raw_alpha_tailstrike,raw_phi_overturn,raw_b_w,raw_S_h,raw_S_v,raw_wheel_span,raw_h_tail,raw_xi_mlg,raw_x_le_mlg,raw_x_te_mlg,raw_L_f,raw_xr_v,raw_cr_v,raw_x_te_v,raw_Lb_v,raw_xr_h,raw_cr_h,raw_x_te_h,raw_Lc_h,idx,f1_moga,f2_moga,g_min,viavel
True,0.9654630914080912,0.9102774946932809,276666.2935001598,99503.26033714751,387.27447032406013,10.577027856031696,0.6141397946917199,18.64977717835673,0.700000026389909,4.8424636866068225,0.06546233134625819,0.5103050106990737,32.3201193605665,6.949993318179965,-5.788014499737994,0.2808175731198697,0.16886482783036683,0.998493121291401,0.000753439354299501,0.4713922342097985,0.9233838999446113,0.029860581461678803,0.048025678211500056,0.30956929075029915,0.0020083400465726875,0.19897793552662546,0.12578700400252008,0.06722567823639292,0.17842890771838582,0.0002169472874006262,0.00011195892584914269,0.9997760821483017,0.00024539031763951355,0.00014665825748063748,2714096.3392365677,1407372.3553291503,976126.9839074172,777192.9984,659516.236668669,108.75347688768557,387.27447032406013,0.24934055165088995,0.09992465606457006,0.7498372895344495,0.0020083400465726875,0.09514939784223626,0.05770151699833834,0.26961686974514354,0.18291498730237274,0.7591682153970777,64.00166295142263,55.98227617003318,49.67987608738225,13.89998663635993,18.65548643527214,0.9998880410741509,23.988265052237427,32.32105229047502,65.09,57.3857186584776,7.688308885747249,65.07402754422485,0.5103050106990737,60.041725267729525,5.038728746291058,65.08045401402059,4.8424636866068225,9,0.9654630914080912,0.9102774946932809,0.00011195892584914269,True
True,0.9654751050053534,0.9101978616671504,276669.73615628586,99494.55557867915,387.3632987712985,10.580290218495884,0.6140512664039784,18.649777234720727,0.7000000405376474,4.842463773140755,0.06546233002261503,0.5103053267414662,32.32012170408651,6.949997008565207,-5.763436504121339,0.2810339323699782,0.1687920383854815,0.9992354727666217,0.000382263616689138,0.4714864822324518,0.9229955079139003,0.033842687406380634,0.039053327486789025,0.3115102001827368,0.002286238845848665,0.19876253864224758,0.1257865398031186,0.06840141613420625,0.1787653203372912,0.00041719379812077406,2.1673068120175998e-06,0.999995665386376,9.644133573714587e-05,0.00015507461120177138,2714130.1116931643,1407491.5214663218,976041.5902268426,777192.9984,659328.014653175,108.86223110950476,387.3632987712985,0.24936238848435555,0.09996177363833109,0.7496871046514094,0.002286238845848665,0.09513243319815867,0.05768986523741701,0.27065938264361783,0.18134901668447365,0.7570340740120974,64.01887316248443,55.99511685491429,49.691239291457435,13.899994017130414,18.631971677315875,0.999997832693188,23.987211766794676,32.32013976409812,65.09,57.3945345302612,7.689188103195679,65.08372263345687,0.5103053267414662,60.04059961243332,5.039306581123562,65.07990619355688,4.842463773140755,7,0.9654751050053534,0.9101978616671504,2.1673068120175998e-06,True
True,0.9654756299013936,0.9101976080179616,276669.88657222944,99494.52785205576,387.3648753941489,10.580294688126065,0.6140512658581541,18.649775670074092,0.7000003303393275,4.84246479088795,0.06546233052556269,0.5103053042182393,32.3201216475523,6.949996471007623,-5.759567545322948,0.2810366368498394,0.16878617641944071,0.999292366293113,0.00035381685344348934,0.4714895061148029,0.9229841588933425,0.034497897563176894,0.037640440544485454,0.3118153019745652,0.002292425625138872,0.19876073882839185,0.1257866074204248,0.06859390587036884,0.17876907498180117,0.0004197879211349509,4.226190623679571e-06,0.9999915476187526,9.490861088545246e-05,0.00015362505892226177,2714131.587273571,1407493.269044904,976041.3182286671,777192.9984,659325.9145452208,108.86372181452873,387.3648753941489,0.24936414707416776,0.09996461831465565,0.7496851590591488,0.002292425625138872,0.09513188889933548,0.057689524766800275,0.2708309162615469,0.18110242139345734,0.7566985970703657,64.01901696761149,55.99535617646393,49.691444116756735,13.899992942015245,18.628121882592623,0.9999957738093763,23.987209598638607,32.3201568641759,65.09,57.394618448075335,7.6892039504421374,65.08382239851747,0.5103053042182393,60.040683194875626,5.0393173500391315,65.08000054491475,4.84246479088795,2,0.9654756299013936,0.9101976080179616,4.226190623679571e-06,True
True,0.9654766544526343,0.9101975882026296,276670.1801710183,99494.52568602382,387.36765960643197,10.58028903318542,0.6140512661136197,18.64977742959512,0.7000003047419268,4.842463773883686,0.06546233048963551,0.5103053028195066,32.32012169459972,6.949993817362678,-5.8415958864789115,0.2810413070888626,0.16877702791720994,0.9993895175190302,0.0003052412404849214,0.47149497531875195,0.9229641790220713,0.020647401077450223,0.06756833783173422,0.30539322900539245,0.002303521390909946,0.19875807347519836,0.12578694121224177,0.064490817455645,0.17877542041986305,0.0004238554548600115,8.856059270145877e-06,0.9999822878814597,9.247891086858591e-05,0.00015102854275972507,2714134.4674776895,1407496.1704977958,976041.2969798937,777192.9984,659322.3653434977,108.86631337974524,387.36765960643197,0.249366891624837,0.09996947587595151,0.749682108408855,0.002303521390909946,0.09513090444262465,0.057688925370662135,0.26720486476086935,0.18632582485206903,0.7637600351116354,64.01922992933166,55.9957683595017,49.69180138643773,13.899987634725356,18.7101836508871,0.9999911439407299,23.98720955693986,32.320195492017056,65.09,57.39474895552405,7.6892315921675225,65.08398054769157,0.5103053028195066,60.040833654884324,5.0393358972674465,65.08016955215177,4.842463773883686,10,0.9654766544526343,0.9101975882026296,8.856059270145877e-06,True
True,0.9654768193827195,0.9101973346869638,276670.22743392846,99494.49797399595,387.3683005321875,10.58029470915088,0.614051253633738,18.649774788588193,0.7000000095066402,4.842463671338904,0.06546233216921522,0.510305285416163,32.32011978254768,6.949989831268279,-5.757303533245403,0.281042457825131,0.1687752639992448,0.9994072323771119,0.00029638381144403425,0.47149635297556536,0.9229581080286813,0.03487168157383147,0.03681347497933274,0.3119939970136386,0.0023060192784827294,0.19875719570155825,0.12578744260776376,0.06870503659673255,0.17877708800109993,0.00042504518910568834,9.267339192486901e-06,0.999981465321615,9.178846830632392e-05,0.00015061096556211884,2714134.931126838,1407496.9060019376,976041.0251249004,777192.9984,659321.4326195614,108.86693926510998,387.3683005321875,0.24936742080022656,0.0999703616188556,0.7496812161081707,0.0023060192784827294,0.09513065646439824,0.057688743240860436,0.27092877268670534,0.18095808867433202,0.7565021116126706,64.0193000634455,55.9958385769633,49.69188657448947,13.899979662536557,18.62589926806535,0.9999907326608075,23.987203489936185,32.32019700722509,65.09,57.39478730550034,7.689238183097614,65.08402548859794,0.510305285416163,60.04085767537694,5.03933905687463,65.08019673225157,4.842463671338904,6,0.9654768193827195,0.9101973346869638,9.267339192486901e-06,True
True,0.9654797015910561,0.9101972393055667,276671.0533690726,99494.48754776875,387.3761810468497,10.580279341978603,0.6140512509607602,18.64977717964654,0.7000000166772881,4.842462825231545,0.06546233316351702,0.5103052966293331,32.32011958652197,6.949989701568401,-5.841352472621755,0.28105569256880814,0.168749599742112,0.9996782482554369,0.00016087587228152955,0.4715116104253686,0.9229018371930267,0.020656324882395216,0.06747947017923739,0.30541340791756144,0.002337438344209186,0.19874962749286773,0.12578745892221377,0.06449786202699814,0.17879509630056156,0.00043658221578557477,2.252607250041727e-05,0.9999549478549992,8.491945939894149e-05,0.000143101795207824,2714143.0335506024,1407505.1107069908,976040.9228436114,777192.9984,659311.3602517366,108.87428084878235,387.3761810468497,0.2493751200773664,0.09998391241277185,0.7496725633381608,0.002337438344209186,0.09512791012343365,0.057687055115790795,0.2672072010075408,0.18631031452072314,0.7637378472388557,64.01990476331987,55.99698809876009,49.692897155483124,13.899979403136802,18.710042759460038,0.9999774739274996,23.98720638962951,32.320307298557196,65.09,57.39515622189382,7.689316370493908,65.08447259238773,0.5103052966293331,60.04129472199976,5.03939078215016,65.08068550414993,4.842462825231545,5,0.9654797015910561,0.9101972393055667,2.252607250041727e-05,True
True,0.9654797359986783,0.9101969555919848,276671.0632290345,99494.45653477922,387.3764443544095,10.580287861086422,0.6140512490992687,18.649775646812945,0.7000000418148878,4.842463783958912,0.06546233343675323,0.5103050468318695,32.32011960312539,6.94999690975631,-5.792372253842098,0.28105620329111836,0.16874816678922455,0.9996896344672215,0.00015518276638926132,0.4715121514425382,0.922899834898032,0.028876111053711018,0.04961600666378452,0.30923857583792136,0.0023383692080234386,0.19874903260132837,0.1257865522319107,0.06694660018874521,0.17879588100111277,0.000437306929168102,2.2835123319353556e-05,0.9999543297533613,8.469666602497666e-05,0.0001429523699930745,2714143.1302768285,1407505.5116706444,976040.6186061843,777192.9984,659310.921361513,108.87455269466352,387.3764443544095,0.24937554996323263,0.09998448172336108,0.7496720198031239,0.0023383692080234386,0.09512781274034313,0.057686995046940956,0.2693591359950312,0.1831925519791778,0.7595318554357833,64.01995229515387,55.997017085484934,49.692955465179125,13.89999381951262,18.661067996225096,0.9999771648766806,23.9872100205398,32.32030989048855,65.09,57.39516621219004,7.689320881818403,65.08448709400844,0.5103050468318695,60.04130314377207,5.039392086465089,65.08069523023715,4.842463783958912,4,0.9654797359986783,0.9101969555919848,2.2835123319353556e-05,True
True,0.9654803341030719,0.9101965696581705,276671.23462380574,99494.41434800319,387.3783521395871,10.580294371495912,0.6140512481948409,18.649777382691834,0.7000000546492221,4.842463743246944,0.06546233467325224,0.5103053072054446,32.32011958820835,6.949994664306734,-5.758295672669946,0.28105950593740076,0.168740824794683,0.9997637602723184,0.0001181198638408043,0.4715162240283235,0.9228852715092482,0.03466466246967381,0.03717580704264267,0.31191786347136596,0.002345890439297227,0.19874681304956054,0.12578683467839824,0.06864939859449382,0.1788005185707049,0.0004404657702106185,2.5609733336651175e-05,0.9999487805333267,8.248280473190771e-05,0.00014130291167412608,2714144.8116595345,1407507.6069056229,976040.2047539114,777192.9984,659308.3275381878,108.87636826319681,387.3783521395871,0.24937775256159508,0.09998818801361592,0.749669650672342,0.002345890439297227,0.09512707967490178,0.05768655814527744,0.27087457521197417,0.18102132754923506,0.756585824814654,64.02012963734012,55.99729436194321,49.6931757809946,13.899989328613469,18.627012028110123,0.9999743902666633,23.987209753089076,32.320332997272494,65.09,57.395293266976154,7.68933792726385,65.08463119424,0.5103053072054446,60.041398030429285,5.039404563049848,65.08080259347913,4.842463743246944,3,0.9654803341030719,0.9101965696581705,2.5609733336651175e-05,True
True,0.965480718098079,0.9101952897512544,276671.3446626838,99494.27444021482,387.380209649611,10.580329612114843,0.6140512656865901,18.649777189530013,0.7000000469990497,4.842463681635546,0.06546233353962012,0.5103050222667245,32.32011981381686,6.949993669235217,-5.7601704395834075,0.28106292914464076,0.16873138108786856,0.9998497210750079,7.513946249604331e-05,0.47152066937778103,0.9228699340212239,0.03433628950492151,0.03786049383326273,0.31177042341802386,0.0023528401322991943,0.1987435576148634,0.12578695984462684,0.06855441977050225,0.17880560069616092,0.0004445956298058107,2.6930830007820816e-05,0.9999461383399844,8.00444565281273e-05,0.0001402979161132043,2714145.891140928,1407510.0588824204,976038.8322585075,777192.9984,659305.4850952671,108.87821641678471,387.380209649611,0.2493805856736394,0.0999924860537504,0.7496665532776456,0.0023528401322991943,0.09512627951199941,0.05768609802063671,0.2707886073708322,0.18114082793764738,0.7567479436206026,64.02038974657242,55.99756297390399,49.69344095045247,13.899987338470433,18.628911604589955,0.9999730691699922,23.9872075191078,32.32034423210511,65.09,57.395431463418326,7.689358442906263,65.08478990632459,0.5103050222667245,60.04145135891069,5.039416649729508,65.0808680086402,4.842463681635546,1,0.965480718098079,0.9101952897512544,2.6930830007820816e-05,True
True,0.9654809919287443,0.9101952164119874,276671.423132504,99494.2664234329,387.38100585312395,10.580330051073533,0.6140512507909734,18.649777189542924,0.7000000146173653,4.842463692843091,0.06546233353775689,0.5103050208307964,32.320119817281395,6.949988865094755,-5.760178906611041,0.28106429115408144,0.1687287801355839,0.999876842049821,6.157897508951571e-05,0.47152220014644664,0.9228643029057175,0.034331959343415486,0.037863586186378306,0.31176959908846935,0.0023559903911380964,0.198742717561063,0.12578756413902448,0.06855351796669695,0.1788074811366358,0.0004458200000723167,2.7839474288415822e-05,0.9999443210514232,7.930453384362788e-05,0.00013957718990995757,2714146.6609298643,1407510.9073159874,976038.7536138768,777192.9984,659304.4333673646,108.87896781666336,387.38100585312395,0.2493813659593248,0.09999384210249106,0.7496656349999458,0.0023559903911380964,0.0951260039736396,0.057685929087171524,0.27078747373720086,0.1811413676550824,0.756748850018288,64.02045686687107,55.99767534869631,49.693543226487826,13.89997773018951,18.628929640666062,0.9999721605257116,23.98720365651265,32.32035180774509,65.09,57.39547171210363,7.689366355788491,65.08483806789212,0.5103050208307964,60.04149321448139,5.039421706227373,65.08091492070876,4.842463692843091,0,0.9654809919287443,0.9101952164119874,2.7839474288415822e-05,True
