caso,rotulo,eps_kgf,W0_kgf,Wf_kgf,b_w,g_min,viavel,n_objfun,tempo_s,sucesso,S_w,AR_w,sweep_w,xr_w,Cht,Lc_h,Cvt,Lb_v,x_mlg,y_mlg,z_lg
base,letra E (roteiro),99080.21303709869,276276.3394416156,99080.21303709962,64.1393121065255,-2.7089441800853823e-14,True,84,0.8844349384307861,True,386.4777805858072,10.644470559892682,0.6175209853497251,18.5538085949162,0.7,4.868589372095909,0.0652533575572768,0.5099260087388154,32.22633466392651,6.9499999999999975,-5.673159293061381
base,letra E (roteiro),98993.5793723381,276294.67369953,98993.57937258316,64.45039428849009,-2.2256640974660517e-12,True,84,0.8749597072601318,True,387.24446484371066,10.726695152681664,0.6127936723119705,18.62651720416116,0.7,4.879695930262702,0.0651675696679816,0.507037989312691,32.23114644961856,6.949999999999998,-5.672310845418481
base,letra E (roteiro),98906.94570757754,276383.8996277167,98906.94571073935,64.89999997844777,-5.50595125048403e-10,True,6198,38.34639310836792,False,388.42275069243743,10.843880770870932,0.6061010799334993,18.72764541476536,0.7000000000997953,4.894880103721242,0.06502153046795,0.5029362417187491,32.23798143143177,6.949999997642112,-5.671105653256616
