caso,rotulo,ancora,obj,b_w,W0_kgf,Wf_kgf,f1,f2,n_objfun,n_designTool,tempo_s,g_min,n_ativas,ativas,sucesso,S_w,AR_w,sweep_w,xr_w,Cht,Lc_h,Cvt,Lb_v,x_mlg,y_mlg,z_lg
base,letra E (roteiro),min W0,W0,64.13931212963185,276276.3394172155,99080.21303709869,0.9641022958096697,0.906407365864131,8,184,2.0904176235198975,-1.623324696886641e-09,9,SM_aft_max; tipback; tailstrike; tank; wheelspan; CLv; gear_te; vt_te; ht_te,True,386.47778034173234,10.644470574284451,0.617520984298587,18.553808618756847,0.7000000000000001,4.868589376933749,0.0652533576453312,0.5099260081582092,32.22633466487209,6.949999999999998,-5.6731592928945105
base,letra E (roteiro),min Wf,W_fuel,64.89999999979878,276383.8996256748,98906.94570757754,0.9644776411763128,0.9048222786007157,5,115,1.2166483402252197,-1.7040169275617245e-10,10,SM_aft_max; tipback; tailstrike; tank; span; wheelspan; CLv; gear_te; vt_te; ht_te,True,388.4227507527632,10.843880776321694,0.6061010794683159,18.72764542234563,0.7,4.894880106103329,0.06502153040365696,0.5029362414604043,32.237981432514516,6.95,-5.671105653521173
letraF,letra F (teto relaxado),min W0,W0,64.13931212963185,276276.3394172155,99080.21303709869,0.9641022958096697,0.906407365864131,8,184,1.9815289974212646,-1.623324696886641e-09,8,SM_aft_max; tipback; tailstrike; tank; CLv; gear_te; vt_te; ht_te,True,386.47778034173234,10.644470574284451,0.617520984298587,18.553808618756847,0.7000000000000001,4.868589376933749,0.0652533576453312,0.5099260081582092,32.22633466487209,6.949999999999998,-5.6731592928945105
letraF,letra F (teto relaxado),min Wf,W_fuel,65.60565073263038,276664.3356897124,98857.0638506937,0.9654562593733571,0.9043659485110179,7,139,1.4555203914642334,-2.4424906541753444e-15,8,SM_aft_max; tipback; tailstrike; tank; CLv; gear_te; vt_te; ht_te,True,390.4301909604511,11.023997394934735,0.5959197350428971,18.877484143260865,0.7,4.916740112641113,0.0647434711593972,0.49666338516197506,32.248446295678534,6.95,-5.66926041579601
