AR_w,S_w,W0_kgf,b_w
7.0,80.0,43002.66857670074,23.664319132398465
7.0,80.66666666666667,43015.501686237054,23.762715894162156
7.0,81.33333333333333,43028.89692266699,23.860706890897706
7.0,82.0,43043.84920758193,23.958297101421877
7.0,82.66666666666667,43060.045256849684,24.05549140355829
7.0,83.33333333333333,43076.4461255369,24.152294576982396
7.0,84.0,43094.304224045474,24.24871130596428
7.0,84.66666666666667,43113.06263369452,24.34474618201362
7.0,85.33333333333333,43132.62544028097,24.440403706431145
7.0,86.0,43153.108333069926,24.535688292770594
7.0,86.66666666666667,43174.421975729056,24.63060426921489
7.0,87.33333333333333,43196.51739530632,24.72515588087026
7.0,88.0,43218.382919516866,24.819347291981714
7.0,88.66666666666667,43242.13110461188,24.91318258807306
7.0,89.33333333333333,43266.44213720587,25.006665778014735
7.0,90.0,43291.67317824155,25.099800796022265
7.0,90.66666666666667,43317.54914245568,25.192591503588247
7.0,91.33333333333333,43343.924888437294,25.285041691350507
7.0,92.0,43370.855450446004,25.37715508089904
7.0,92.66666666666667,43398.19269123449,25.46893532652409
7.0,93.33333333333333,43427.25792118421,25.56038601690775
7.0,94.0,43457.34498369477,25.65151067676132
7.0,94.66666666666667,43487.35444472565,25.74231276841043
7.0,95.33333333333333,43516.72677026188,25.832795693330084
7.0,96.0,43547.37784337393,25.92296279363144
7.0,96.66666666666666,43578.150702259496,26.01281735350223
7.0,97.33333333333333,43609.89380702007,26.102362600602522
7.0,98.0,43642.14206476525,26.191601707417586
7.0,98.66666666666666,43674.91854199654,26.280537792569362
7.0,99.33333333333333,43707.96148981492,26.36917392208814
7.0,100.0,43741.63607474762,26.457513110645905
7.0,100.66666666666666,43774.71698281046,26.54555832275273
7.0,101.33333333333333,43809.20867884763,26.63331247391757
7.0,102.0,43844.1371024142,26.720778431774775
7.0,102.66666666666666,43879.49177840783,26.807959017177467
7.0,103.33333333333333,43915.26257512072,26.894857005259077
7.0,104.0,43951.45028098279,26.98147512646408
7.0,104.66666666666666,43988.02472111809,27.06781606754905
7.0,105.33333333333333,44024.986795033525,27.15388247255507
7.0,106.0,44062.266577718925,27.23967694375247
7.0,106.66666666666666,44099.97514460511,27.325202042558928
7.0,107.33333333333333,44138.04556447474,27.410460290431704
7.0,108.0,44176.4697510027,27.49545416973504
7.0,108.66666666666666,44215.23986646579,27.58018612458347
7.0,109.33333333333333,44254.34831224283,27.664658561661902
7.0,110.0,44293.3054494953,27.74887385102322
7.0,110.66666666666666,44333.0538789458,27.832834326864138
7.0,111.33333333333333,44373.11944770673,27.916542288280137
7.0,112.0,44413.76276359317,28.0
7.0,112.66666666666666,44454.450001733116,28.083209693100727
7.0,113.33333333333333,44495.4346440115,28.166173565703478
7.0,114.0,44536.71052908441,28.24889378365107
7.0,114.66666666666666,44577.80290497502,28.331372481167705
7.0,115.33333333333333,44619.632856471246,28.413611761501446
7.0,116.0,44661.736770521966,28.495613697550016
7.0,116.66666666666666,44704.10915241944,28.577380332470412
7.0,117.33333333333333,44746.74466107142,28.658913680272903
7.0,118.0,44789.638103669924,28.74021572639983
7.0,118.66666666666666,44832.784430583,28.821288428289716
7.0,119.33333333333333,44876.17873045676,28.902133715927157
7.0,120.0,44919.81622551778,28.982753492378876
7.083333333333333,80.0,42893.09070808316,23.804761428476166
7.083333333333333,80.66666666666667,42907.44230430473,23.903742152409713
7.083333333333333,81.33333333333333,42922.273610600154,24.002314703192923
7.083333333333333,82.0,42938.62496422865,24.100484089190683
7.083333333333333,82.66666666666667,42955.52955507687,24.19825521717538
7.083333333333333,83.33333333333333,42974.95130995824,24.29563289518875
7.083333333333333,84.0,42994.780750007805,24.392621835300936
7.083333333333333,84.66666666666667,43014.227053896975,24.489226656271168
7.083333333333333,85.33333333333333,43034.56170782554,24.585451886114363
7.083333333333333,86.0,43056.209008393314,24.681301964577692
7.083333333333333,86.66666666666667,43078.69352329799,24.77678124553084
7.083333333333333,87.33333333333333,43101.73451247978,24.87189399927378
7.083333333333333,88.0,43125.68089538571,24.966644414765337
7.083333333333333,88.66666666666667,43149.26580721072,25.061036601775985
7.083333333333333,89.33333333333333,43174.525741223435,25.15507459296787
7.083333333333333,90.0,43200.47384433042,25.248762345905195
7.083333333333333,90.66666666666667,43227.10237126792,25.34210374499762
7.083333333333333,91.33333333333333,43254.36961032675,25.435102603379534
7.083333333333333,92.0,43282.20261612685,25.52776266472772
7.083333333333333,92.66666666666667,43310.71190797002,25.620087605019794
7.083333333333333,93.33333333333333,43339.8187483367,25.712081034235855
7.083333333333333,94.0,43369.506977225545,25.80374649800554
7.083333333333333,94.66666666666667,43399.76102739172,25.895087479202605
7.083333333333333,95.33333333333333,43430.06844050299,25.98610739948901
7.083333333333333,96.0,43461.388602470324,26.076809620810597
7.083333333333333,96.66666666666666,43493.49813302108,26.167197446845968
7.083333333333333,97.33333333333333,43525.86097692003,26.257274124410635
7.083333333333333,98.0,43558.720051047574,26.34704284481783
