grandeza,inicial,otimo,variacao_pct
W0 [kgf],42788.945732366774,41624.08637154368,-2.7223371384492046
W_empty [kgf],23088.296668148378,22868.278525897706,-0.9529422867915582
W_fuel [kgf],9508.649064218404,8563.807845645972,-9.93665043468608
T0 [kgf],12296.906252729668,10926.447969576999,-11.144740432972355
T0req [kgf],11711.339288313968,10406.140923406665,-11.144740432972345
AR_w [-],7.5,10.466420882516406,39.55227843355209
S_w [m2],90.0,84.98984860255565,-5.566834886049277
b_w [m],25.98076211353316,29.825149223695366,14.797052886141838
cr_w [m],5.542562584220407,4.559365545640026,-17.739033590338316
ct_w [m],1.3856406460551018,1.1398413864100065,-17.739033590338316
S_h [m2],20.76595744680851,19.609950883237428,-5.566834886049277
S_v [m2],13.04904051172708,12.322621972225553,-5.566834886049277
deltaS_wlan [m2],-1.4749589578755717,-2.727906213112348,84.94794031702648
