caso,arquivo,Mach,CL_alvo,it_deg,alpha_deg,delta_e_deg,CLtot,CDtot,CDind,Cmtot,e,n_iter
fwd,fwd.avl,0.85,0.4701998172347665,-3.4286681868466795,0.17538,-0.0025,0.4702,0.02081,0.0075259,-0.0,0.6725,3
aft,aft.avl,0.85,0.4701998172347665,-1.95892930909842,0.03634,4e-05,0.4702,0.02023,0.0069468,0.0,0.7563,3
