grandeza,inicial,otimo,variacao_pct
W0 [kgf],286563.30414107547,276769.43392831326,-3.4176986624709915
W_empty [kgf],143552.39519602322,143964.1954308309,0.28686406398539255
W_fuel [kgf],109310.90894505226,99105.23849748232,-9.336369577440863
T0 [kgf],79224.56660550459,79224.56660550459,0.0
T0req [kgf],74918.09333701454,67106.28018606911,-10.42713822921848
S_w [m2],395.24,387.9899325488126,-1.8343455751410276
b_w [m],60.49729250140042,64.62591247305821,6.8244706514133835
S_h [m2],61.48177777777778,60.35398950759306,-1.8343455751410387
S_v [m2],55.93018867924528,47.46572469866658,-15.133980736452834
deltaS_wlan [m2],112.84333829334906,109.59503298270488,-2.878597318877474
SM_fwd [-],0.2141529366858153,0.2493112175548657,16.417370414411494
SM_aft [-],0.09829864742767626,0.09999996737367621,1.7307663844018828
CLv [-],0.6833217319608178,0.7499998004853164,9.757931791977903
tank_excess [-],0.005042681749004352,-4.994819706727327e-07,-100.00990508613341
frac_nlg_fwd [-],0.0810573516698066,0.09220131406303665,13.748243883695888
frac_nlg_aft [-],0.04957074080613422,0.0549673529373006,10.886688484789753
alpha_tipback [deg],13.497182187568276,15.000001424608795,11.134318379614871
alpha_tail [deg],10.080597987542323,9.999999999990909,-0.7995357780462786
phi_overturn [deg],48.4978537365174,42.822253262715606,-11.702786899883444
h_tail [m],19.135015372612795,18.328371184961433,-4.215539794161227
wheel_span [m],11.2,13.899999999999997,24.10714285714284
xi_mlg [-],0.9012695400525315,0.9999998522398433,10.95458215325431
