parametro,valor
h_ft,35000.0
M,0.85
W_kgf,224321.21210355675
S_ref,386.47778034173234
rho,0.3804553170855409
a,296.58680644203673
c_ref,6.918280428435798
clref,0.470976947932197
Re_ref,45916723.13769157
tc_ref,0.12
W0_kgf,276276.12590309774
W_ini_kgf,264035.85304578516
W_fim_kgf,184606.5711613284
Mf_cruise,0.6991723625098621
v,252.0987854757312
mi,1.4451125956711377e-05
tcr,0.16
tct,0.08
