caso,rotulo,ancora,obj,b_w,W0_kgf,Wf_kgf,f1,f2,n_objfun,n_designTool,tempo_s,g_min,n_ativas,ativas,sucesso,S_w,AR_w,sweep_w,xr_w,Cht,Cvt,x_mlg,y_mlg,z_lg
base,letra E (roteiro),min W0,W0,64.64752417053651,276769.35674936883,99098.43348995838,0.9658227440493041,0.9065740505348151,8,152,1.1665289402008057,-9.191025718280343e-11,7,SM_aft_max; tipback; tailstrike; tank; wheelspan; CLv; gear_te,True,388.041575298207,10.770243828044304,0.6136551476595111,18.633221337095566,0.7,0.06483304978273356,32.242056927049966,6.95,-5.670387033874884
base,letra E (roteiro),min Wf,W_fuel,64.89999999972193,276780.58715580526,99026.54838638914,0.9658619340163171,0.905916429952725,5,95,0.8564169406890869,-3.4513936153501845e-09,8,SM_aft_max; tipback; tailstrike; tank; span; wheelspan; CLv; gear_te,True,388.6575288322228,10.837330265078087,0.6099104687868552,18.691133673942634,0.7,0.06476102264319004,32.24602285957602,6.949999999999976,-5.669687732966709
letraF,letra F (teto relaxado),min W0,W0,64.64752417053651,276769.35674936883,99098.43348995838,0.9658227440493041,0.9065740505348151,8,152,1.4027788639068604,-9.191025718280343e-11,6,SM_aft_max; tipback; tailstrike; tank; CLv; gear_te,True,388.041575298207,10.770243828044304,0.6136551476595111,18.633221337095566,0.7,0.06483304978273356,32.242056927049966,6.95,-5.670387033874884
letraF,letra F (teto relaxado),min Wf,W_fuel,66.20312338572542,277174.6785313711,98863.4580457864,0.9672371672365896,0.9044244440002094,7,133,1.2275681495666504,-5.502265310042276e-13,6,SM_aft_max; tipback; tailstrike; tank; CLv; gear_te,True,392.2166753118323,11.17457217376337,0.5913175111368387,18.96888129275316,0.7000000000000001,0.06427459668308229,32.26574373059247,6.949999999999992,-5.666210411323632
