caso,rotulo,eps_kgf,W0_kgf,Wf_kgf,b_w,g_min,viavel,n_objfun,tempo_s,sucesso,S_w,AR_w,sweep_w,xr_w,Cht,Cvt,x_mlg,y_mlg,z_lg
letraF,letra F (teto relaxado),99098.43348995838,276769.3567505481,99098.4334682061,64.64752423863088,-5.0959236830294685e-14,True,60,0.6045181751251221,True,388.0415754778072,10.770243845748404,0.613655146680213,18.633221351874,0.7,0.0648330497591128,32.24205692808749,6.95,-5.670387033691973
letraF,letra F (teto relaxado),98980.94576787238,276803.9741910255,98980.94576787618,65.0924589177016,-4.107825191113079e-14,True,70,0.7543389797210693,True,389.14374503951313,10.888079949794513,0.6070875820795834,18.73434796970325,0.7,0.0647010243224382,32.2490124846195,6.95,-5.669160581409538
letraF,letra F (teto relaxado),98863.4580457864,277174.64113217546,98863.45804626295,66.20304939665621,-3.334743592375844e-11,True,260,2.8336849212646484,True,392.2164561392161,11.174553440614496,0.5913185328248545,18.968866471134756,0.7000000000009423,0.0642746293667104,32.265742643559975,6.949999999996823,-5.666210602982345
