caso,rotulo,eps_kgf,W0_kgf,Wf_kgf,b_w,g_min,viavel,n_objfun,tempo_s,sucesso,S_w,AR_w,sweep_w,xr_w,Cht,Cvt,x_mlg,y_mlg,z_lg
base,letra E (roteiro),99098.43348995838,276769.35675054824,99098.4333068906,64.64752475511867,-6.450395773072161e-14,True,60,0.6122400760650635,True,388.04157671205974,10.770243983584436,0.6136551389712261,18.633221471787273,0.7,0.0648330496196798,32.242056936253014,6.95,-5.670387032252172
base,letra E (roteiro),99062.49093817377,276771.9137182365,99062.4909392871,64.76768538490249,-1.0193068611386023e-11,True,60,0.5949370861053467,True,388.3315947026361,10.80224511047037,0.6118670328826122,18.660958700240403,0.7,0.0647997292966543,32.243950782534625,6.95,-5.670053096055395
base,letra E (roteiro),99026.54838638914,276780.5871782493,99026.54839283574,64.90000000102918,-9.678179369032591e-10,True,4971,22.159974098205566,False,388.6575288196911,10.8373302658641,0.6099104689746216,18.691133671195225,0.7,0.0647610228499921,32.24602285919587,6.95,-5.669687730377182
