,$W_0$,$W_f$,$\Delta S_{wlan}$,$SM_{fwd}$,$SM_{aft}$,$C_{Lv}$,"$f_{nlg,fwd}$","$f_{nlg,aft}$",$\alpha_{tip}$,$\alpha_{tail}$,$\phi_{ovt}$,$V_{tank}$
"$(t/c)_{t,w}$",0.15576578206503225,0.2938598024726708,-0.38982038893114435,-0.05852974043960474,0.029791754366402138,-0.15573523416344218,-0.04202639873258248,0.016055814150086684,0.01546835971766337,0.0,-0.002173462664797949,0.0823120674584628
$C_{ht}$,0.050679675166361744,0.08042636633071436,-0.12683126179796786,1.170560460991953,2.4063373891795767,-0.050679730491322315,-0.09221651224911206,-0.22831086661062341,-0.2199574919932775,0.0,-0.004769117079636197,0.0
$L_c/c_h$,-0.05069989111615273,-0.08045850986364701,0.12688185435627106,0.34071471495398664,0.7559183624943627,0.05069789016578809,-0.006173967217895418,-0.0027449098479876448,-0.002644481176003614,0.0,-0.0003192961023543828,0.0
$AR_h$,0.0024580043170440227,0.004637274955458509,-0.006151416480307717,0.5668453511825197,1.234925411789357,-0.002458006237398785,0.0013869885373613128,0.0022676678510289427,0.0021847004104553957,0.0,7.17302077000461e-05,0.0
$\lambda_h$,0.00042518989764785137,0.0008021639661998528,-0.001064082811216783,-0.03415942653569143,-0.07436653551449295,-0.0004251900240614285,0.00028004380790611663,0.0004864834464648923,0.00046868439192937673,0.0,1.4482888903099005e-05,0.0
$\Lambda_h$,-0.003704279954468624,-0.006988500325591897,0.009270353433324004,-0.5629310115880879,-1.2246867182200878,0.0037042872003003905,-0.0007975971804201322,-0.0003818206552607714,-0.0003678509144991573,0.0,-4.124894362536263e-05,0.0
$\eta_h$,0.0,0.0,0.0,1.2957867166301678,2.8229934323847754,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"$z_{r,h}$",0.0,0.0,0.0,0.03469642644467845,0.07558943360313448,0.0,0.0,0.0,0.0,0.0,0.0,0.0
$C_{vt}$,0.043928453298691675,0.06906074209604014,-0.10993561309179213,-0.11299294231588788,-0.37174356898090183,-1.0443470535275206,-0.08113288068712815,-0.20034555809102156,-0.19301540292176703,0.0,-0.004195910027708184,0.0
$L_b/b_v$,-0.043945929625241,-0.0690882456451472,0.10997934945235789,-0.005414683700701562,0.0012736925097017369,0.043944423100344396,-0.0038879320924272843,0.000686437259404033,0.0006613225290193472,0.0,-0.00020107030489745374,0.0
$AR_v$,0.0019068467044844617,0.0035974601187115348,-0.004772086103401166,0.0022432992834061243,0.005594502895159048,-0.0019068477877699135,0.0016107672689588293,0.003015072480864221,0.0029047597286726047,0.0,8.330326238786035e-05,0.0
$L_f$,0.4589681005276222,0.5987872587393689,-1.1486163461752383,-5.0163561231765605,-16.36792655279117,-0.4589619885113993,-3.8369010538190356,-9.205485038749563,-8.868671392853829,0.0,-0.1984278977599778,0.0
$D_f$,0.3693655797177335,0.49864525069473364,-1.2116016995162922,-0.8307281290900741,-1.7613453485673183,-0.46807138225572503,0.08677417737311761,0.16801627648860903,0.16186942752837682,0.0,0.004487655009855423,0.0
$x_n$,0.0,0.0,0.0,-1.1243095127076952,-3.517767325216296,0.0,-0.8072935148011683,-1.8958473442778685,-1.8264463262938777,0.0,-0.04175041428016013,0.0
$y_n$,0.0,0.0,0.0,0.0,0.0,1.0000000000000009,0.0,0.0,0.0,0.0,0.0,0.0
$L_n$,0.024968226646045425,0.04710509430131319,-0.062485635118615136,-0.13270455180642543,-0.43385992035896437,-0.02496825280517734,-0.09528650504780953,-0.2338222235180314,-0.22526723044567937,0.0,-0.00492788609339376,0.0
$D_n$,0.04467506357690642,0.08428405464896359,-0.11180408449271613,0.013396646811106134,0.008544436302980098,-0.04467482981470034,0.009619260504734562,0.004604894347970042,0.0044364140674738005,0.0,0.0004974746212347242,0.0
$x_{nlg}$,0.0,0.0,0.0,-0.020791986918917548,-0.06505448133514427,0.0,0.15173897955143373,0.13160800297444503,-0.03377737428194588,0.0,0.011711261243868828,0.0
$x_{mlg}$,0.0,0.0,0.0,-0.8247488144469064,-2.5804944262945546,0.0,12.64110538938715,20.989411180590817,21.275200712289564,2.064813229656482,0.6264200564729908,0.0
$y_{mlg}$,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.563154724569385,0.0
$z_{lg}$,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9637508264909073,2.0525772614812854,0.5863611424215519,0.0
$x_{ts}$,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0518409361847185,0.0,0.0
$z_{ts}$,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.073114070454596,0.0,0.0
$c_{tank}/c_w$,0.0,0.0,0.0,-0.44848857545807547,0.0,0.0,-0.32203046788935963,0.0,0.0,0.0,-0.01665429321546624,1.0000000000000004
$x_{tank}/c_w$,0.0,0.0,0.0,-0.44848857545807547,0.0,0.0,-0.32203046788935963,0.0,0.0,0.0,-0.01665429321546624,0.0
$b_{tank}/b_w$,0.0,0.0,0.0,-0.506845557995231,0.0,0.0,-0.36393282041162056,0.0,0.0,0.0,-0.018821516274801085,0.29596422181535886
"$c_{l,max,w}$",0.0,0.0,1.2220604158175983,0.0,0.0,0.5598979089527288,0.0,0.0,0.0,0.0,0.0,0.0
$k_{korn}$,-2.2293829392586644,-4.209256869304583,5.579267236596473,-0.642567069481655,-0.4206289841234217,2.1471982911051684,-0.46138560792573885,-0.22669161111377842,-0.21835062125472468,0.0,-0.02386823780545557,0.0
$c_{flap}/c_w$,0.025158017938503998,0.027259027610668767,1.2044562730000212,-0.002548628977961933,-0.005406690660103,0.4103791080987058,-0.001830004658223264,-0.0029138539254173865,-0.002807244087625156,0.0,-9.464146009005022e-05,0.0
$b_{flap}/b_w$,0.020039182174601194,0.02171263691606769,0.7880711240368636,-0.0020301155038324964,-0.004306667829591154,0.267967831383865,-0.001457693866342875,-0.002321013305481147,-0.002236093768436659,0.0,-7.538684546206115e-05,0.0
$c_{slat}/c_w$,0.01041970541807094,0.011289902774964566,0.23469406811153842,-0.001055549889180828,-0.002239269968835304,0.07919515929924138,-0.0007579217025687032,-0.0012068205856289056,-0.001162666403879978,0.0,-3.9197067111032834e-05,0.0
