,X_ref,perturbacao,dX/X*
$S_w$,395.24,+2%,0.020000000000000056
$AR_w$,9.26,+2%,0.020000000000000004
$\Lambda_w$,0.5759586531581288,+2%,0.020000000000000104
$\delta_w$,0.07853981633974483,+2 deg,0.44444444444444436
"$x_{r,w}$",19.8,+2%,0.02000000000000004
"$C_{h,t}$",0.7,+2%,0.020000000000000018
$M$,0.85,+0.02,0.023529411764705903
$R$,14816000.0,+2%,0.02
