,$\Delta W_0/W_0^*$,$\Delta W_f/W_f^*$,$\Delta W_e/W_e^*$,$\Delta SM_{fwd}/SM_{fwd}^*$,$\Delta SM_{aft}/SM_{aft}^*$
$S_w$,0.1314392232347117,0.03146780351125766,0.22906834592480477,1.7737272225172822,-2.726517931373743
$AR_w$,-0.10710373330886631,-0.34351403874367015,-0.06089364587928747,0.6880959521320323,0.5682922925387813
$\Lambda_w$,0.002434980133420705,-0.01317308678634051,0.009686073790940837,2.1570268968541493,-1.6990751210304509
$\delta_w$,0.0,0.0,0.0,0.0,-0.0
"$x_{r,w}$",0.0,0.0,0.0,13.144374179887572,-10.525675676123038
"$C_{h,t}$",0.047585000332124545,0.08154264005465267,0.055175323794901435,1.5822320246182546,-1.3638931945027895
$M$,0.1201069650799204,0.37295336368702964,0.07313953869484957,-0.7008926627924825,0.42454505545389276
$R$,0.21089573588929506,0.6548497009193933,0.1284331223320459,-0.11577982996812027,-0.07991742035012817
