,$S_w$ [m$^2$],$AR_w$,$\Lambda_w$ [deg],$\delta_w$ [deg],"$x_{r,w}$ [m]",$W_0$ [$10^3$ kgf],$W_f$ [$10^3$ kgf],$SM_{aft}$
$S_w$ [m$^2$],1.0,-0.06765644474394804,-0.027473831484961336,0.008227360769524768,-0.0412514570750159,0.052093794340218234,0.004012503674352887,0.0741636483684007
$AR_w$,-0.06765644474394804,1.0,-0.2828163491147547,-0.02301635972354303,-0.0730753549780763,-0.022390555272036067,-0.1361156448907221,-0.1404121443214537
$\Lambda_w$ [deg],-0.027473831484961336,-0.2828163491147547,1.0,0.02235954119148109,-0.03649225831438025,-0.8193610393027554,-0.7963427154774592,0.8977845701965023
$\delta_w$ [deg],0.008227360769524768,-0.02301635972354303,0.02235954119148109,1.0,0.041437996706467084,0.006089763156055491,0.0061536032563153705,0.0252053314402515
"$x_{r,w}$ [m]",-0.0412514570750159,-0.0730753549780763,-0.03649225831438025,0.041437996706467084,1.0,-0.014334825038461224,0.0014901595954469587,0.3422686166655143
$W_0$ [$10^3$ kgf],0.052093794340218234,-0.022390555272036067,-0.8193610393027554,0.006089763156055491,-0.014334825038461224,1.0,0.991066654318264,-0.7817149385175558
$W_f$ [$10^3$ kgf],0.004012503674352887,-0.1361156448907221,-0.7963427154774592,0.0061536032563153705,0.0014901595954469587,0.991066654318264,1.0,-0.7796692426986561
$SM_{aft}$,0.0741636483684007,-0.1404121443214537,0.8977845701965023,0.0252053314402515,0.3422686166655143,-0.7817149385175558,-0.7796692426986561,1.0
