,$\Delta W_0/W_0^*$,$\Delta W_f/W_f^*$,$\Delta W_e/W_e^*$,$\Delta SM_{fwd}/SM_{fwd}^*$,$\Delta SM_{aft}/SM_{aft}^*$
$S_w$,0.052750785801488044,-0.1695590912284109,0.23441751931033003,1.5013704164917288,5.673927012518905
$AR_w$,-0.17361484834666752,-0.5038434409733918,0.037088382489457485,1.0163730392950878,2.3449912285272383
$\Lambda_w$,-0.19390128948023563,-0.48602882921947926,-0.016973384275905706,3.9723731332331633,12.114118829485482
$\delta_w$,0.0,0.0,0.0,0.0,0.0
"$x_{r,w}$",0.0,0.0,0.0,4.485645766844528,19.56319904283541
"$C_{h,t}$",0.05067806799725932,0.08042535557146546,0.03992328767451431,1.1690617101114744,2.403009473886104
$M$,1.5932157873407844,3.0080600508082704,0.8898665143762012,-0.12373721612794075,-0.9698917163663615
$R$,0.8169944041192535,1.5418442118310594,0.45683491230961265,0.24081721975503495,0.15537318813052484
