$S_w$ [m$^2$],$AR_w$,$\Lambda_w$ [deg],$\delta_w$ [deg],"$x_{r,w}$ [m]",$W_0$ [$10^3$ kgf],$W_f$ [$10^3$ kgf],$SM_{aft}$
434.5623489605197,12.643429348708029,36.00871477704713,2.0587377648859957,17.885067818651606,284.358679951071,96.16771185897571,0.18939316207172505
407.22262585592256,8.69872973150067,38.810552527133666,0.573337072209043,17.853140389720693,287.78444422076035,107.9023542017638,0.13541002691795476
400.2215115929184,6.444760178494128,35.285957793906434,4.556696319772032,18.769730921099153,321.5277349831442,140.16685788695446,0.029974572227430645
393.20010270178744,10.670173008302633,18.629701352814138,4.946111093501788,19.208000991352016,380.41610381903496,179.11933097334577,-0.42849441630304647
398.8740986006788,9.534587077742957,33.47693402758749,4.310592360240607,17.917680799035427,284.5550129964323,106.82951912492994,-0.056909115414447535
425.80935163305264,7.6694376229083785,29.91022565449311,2.9453368199434173,18.86140660472975,311.1862544983361,129.67287572973743,-0.07219640170972755
406.8872571187705,11.676863479649544,35.42992576907392,0.4956880213564516,19.531802781106343,279.4838698462325,97.36385267816743,0.25515036676705893
404.9305732140463,11.935804514895457,19.23751881221265,0.41285348531240085,19.94962573877534,352.838993867503,155.47341276918635,-0.31807389637752037
398.7240783893366,11.813133289086302,26.748713308887375,2.9847751052150198,20.86227350639275,297.2704068796858,114.04575884433936,0.037134641431528156
375.3641153359918,8.365889596847957,28.949869175609777,3.721266824817513,21.152885605650194,314.28897552208116,134.18067846449776,0.05034393862396467
366.73536909981453,9.6810695315815,30.88488465986723,0.9445445836757825,20.37516641812295,289.8365468284049,113.75922598598146,0.04651348809514842
431.1718771715855,9.311541890389044,20.04248006951061,4.881528276979326,21.02028288505979,370.8760408331293,171.75946123004644,-0.1407976720593604
432.2612215311468,11.239049123099225,21.079906405816473,1.2193743536305879,19.6128699117914,338.0302716347897,143.44500455984618,-0.25050166773025034
401.5030045680039,8.7847431323767,22.933862222828218,1.966178572292919,21.760060383374793,356.85912934263536,164.1994659953116,-0.026029318648958827
420.65121386840093,9.883648467395687,25.170845808927517,0.44215464027159834,20.400235256392087,315.8020449836269,129.9136028181194,-0.061382001393252734
372.6000185145373,13.539933290975,13.35404491204353,3.037168492453826,19.24027283614267,446.986244886437,225.15091640486258,-0.678719275677542
365.34291626747256,7.34655024101857,38.72623491486661,1.3657544933691843,20.88949816446734,301.8517666384053,124.51032533314343,0.2867152779034629
418.1620998996435,11.046087038333937,39.887289981112374,1.6337712829586106,19.724260521467258,284.85497590564916,98.95307691771363,0.4536921758559203
375.19779598182083,9.201997668074117,21.59689914306117,1.6870873778315882,18.223652072590735,390.8298435654178,190.5929564416939,-0.4584802830096417
427.44204569964626,6.8826586318722045,38.06221356589721,2.3006583227403103,18.75671542478291,304.2622346112729,123.33578449764772,0.1583626420626341
376.1796800460487,7.997670981403361,31.128643707150353,1.3181466180714998,19.272416182020283,307.35375836184335,129.1586975197073,-0.06693359125091232
408.1311147103394,11.696104556135205,29.97960529439803,0.4606253464656135,18.41971027337247,286.3313947119326,104.52175479115455,-0.08654753194022044
372.7258286055424,9.515474860202353,30.475346151192696,3.1496792938891294,21.73666444902893,292.3067650814337,115.5520299162402,0.17726774225794822
430.0175099760758,12.556319406265551,14.71687504759925,0.7178423431151404,20.93314642944499,393.97873317196604,182.8804555480224,-0.32531408538315826
429.4329998204472,13.07774912585378,13.59865336032218,4.023589578350743,21.660533850634526,402.99851069650146,188.6330791127599,-0.2867896353056043
422.38402600501973,9.659818659605406,23.26319372239894,0.3565304883350859,19.104475225413672,332.54588822399694,142.92550134135465,-0.24559143264301356
429.3882423663456,11.61029954698601,19.4970647187659,3.426885672525877,20.997015480573843,350.12205759339304,152.05932051607368,-0.16224586042762384
414.14262542301327,10.611808387851271,19.88062557099395,3.8622392783861192,20.821941749610726,356.8452276100486,160.07954091524928,-0.1883694068237044
421.8942339394221,6.75054906815786,32.60620470402047,0.7363157582224962,21.053781598047408,317.10688227777314,135.65954487666195,0.1707862459099373
412.878154144999,12.279158916876305,26.83744958502423,4.932073740273606,21.530644256278556,296.8259920860095,111.69945686153106,0.14011595773333904
413.21324438456173,12.23561845786503,20.074983971333417,1.350815991911394,20.41632584370752,342.0387114207768,146.20775099919243,-0.22607305912490455
402.8514360243071,8.217113406940094,32.24052442268885,2.4767892458303615,21.119047786797495,296.472853546766,118.47363555731214,0.18033442962712143
387.4010236374337,8.807167203686054,36.392000775631274,2.2426884195771994,20.90570624838303,285.3121679602486,108.55212096108846,0.29680135209981956
406.60394729286986,11.889898106360224,35.514699436792554,2.9341575891289495,20.118639091501535,279.3287563538736,96.81966042714751,0.32222599657917894
365.53120013759786,9.18970843823562,28.119312490066108,0.011025468562846301,21.698868497152766,309.36521340994653,129.87848091139534,0.07874632379854767
368.76451432497066,10.833755786609302,32.474364425779335,1.435407093432549,20.6717701709943,279.5939057237087,103.49231216954058,0.1699218640797155
421.02622192942505,8.727621747876022,37.4288142540758,2.9117345912222685,20.742101834119715,288.03432319506675,107.66509603060105,0.33980325214300217
361.8656786768119,10.750145287279366,26.5068184409518,0.38852985831787357,19.44436700315026,304.7617657868344,124.38211635301253,-0.20285182443739475
397.3947071599884,10.531323336994232,33.15615190582187,3.636370704956578,19.803993872713924,281.4305902402897,102.82268844771696,0.14142630240776677
408.7537889076457,12.611041182243927,33.56880169851847,1.2608228120242,18.93852603408097,280.0034251975022,96.71539759072405,0.1463084408050354
379.99576008647426,7.060837813180109,32.0243678591889,4.631068580843111,18.613257047461985,324.792154506224,143.53112204681582,-0.102257519282113
404.20039945461826,10.018306638938586,33.29190874286425,0.9533628366170319,20.033008003606287,283.3370307686179,104.62790613498741,0.16477281538703464
431.38474059854684,6.057490586385538,37.22352014495828,0.47028654190639696,18.272167039145362,321.9451458996161,138.715674684787,0.08043154010888402
389.2255764333911,6.3041213244038525,34.29913194741169,4.419441963201712,20.949210767571635,338.2634523610206,153.96288875017962,0.16579723092106366
369.2485712600792,13.576833633268631,31.49369950301407,0.6445701459807438,18.4010181906873,276.7019976659475,97.0946737008819,-0.05974529809248237
411.02639700041715,12.294372093413173,20.48194561401222,2.5237839311268244,21.410493353070294,338.2101968150555,143.4176930828909,-0.10638212833617533
430.74474704977393,11.09918609432312,32.50986643344897,3.175743812574834,19.26227957998991,285.00528713254215,101.86935792846599,0.12349164491190374
409.02553978533706,9.440343694908755,32.746085053706665,2.7475270461515593,20.32850340372287,286.74363159851094,108.13310127108892,0.1635680245500196
395.6083788890179,8.647916504695157,27.722077585741182,1.1851566002816387,21.28803038523182,313.6896875625589,132.05624117456645,0.057127401139346695
420.4935905211859,13.221732227055059,12.700860731134817,3.5826597799953,21.514788992989217,415.37117132372737,198.28447118620574,-0.34538422278951103
419.4488680068654,6.167040990430099,33.42307585582853,3.9128741468450863,21.232326725400647,333.55836321152,149.1921241019056,0.1869902053028095
359.1096595229046,11.78320200720005,20.76779872401173,0.9086001252093701,18.31944673940964,350.14805922729954,157.31610524325595,-0.5404768458531086
409.9248163056167,13.024204191363102,10.030036966882738,2.8417882418996814,18.87414119731206,471.24920287741253,240.76079489084495,-0.7455455247785316
423.4898909637412,13.546064829660203,36.89186586603703,1.076244817394941,19.3022151379823,283.38919670910195,94.17512741087555,0.38500263420963604
394.8145879046328,9.328143888944744,37.724796931192,1.1467441719806868,18.815892006550218,283.2195997678222,104.71168421019658,0.18452207284146874
400.91387589449135,11.476199238486476,20.171394333998077,0.6300621493567584,18.36055090631549,347.47542785870803,152.5693100216868,-0.46555426528606964
370.76894224947483,7.968440365439864,30.246466434477412,3.2375398865301075,21.062861026884168,314.9244679021964,135.4300033270235,0.06776044590830516
431.80768889223134,8.344975495107587,29.73459933908447,0.3427703288807118,18.960814369845913,303.3978517207977,122.05983997890603,-0.055001461068323765
410.81497428633594,8.91311994526804,24.121722892432295,4.068542791735084,20.509244847855857,336.7766143283612,148.23950525302897,-0.1007456117348887
407.6166960787966,12.165951956338015,32.337024926503005,1.1549966423904787,20.71144681566971,281.1786291635403,99.04335218666175,0.259348428283105
428.0755087100624,11.006671313623336,20.36722586910328,2.78153316964783,19.577129224051028,346.1702637191324,150.3098561425107,-0.2826590721999064
383.7666954012093,11.988692217438098,35.35853787090757,4.475422773760882,19.044211362155806,275.91422136916316,96.25226537784097,0.17849924011449514
360.6108137021665,9.835167631902468,23.43072182345899,0.019427879716425008,19.76711629090988,347.4572385591462,158.14440738327085,-0.2742617893672555
376.5167000672723,12.181148820050943,36.78096513029142,4.954903604667188,20.9212058352781,274.81999712223677,95.04035134621567,0.4217776599671547
376.2916138230994,11.820976345243174,22.305439741278448,0.4309040074960891,20.938932931646026,328.0338090809042,139.3478533777954,-0.1495675975602995
422.12114677874416,9.604443090491332,28.182880806475968,2.9648986974590237,18.505333242545227,300.6205481586388,118.48042034692307,-0.14870157596385222
420.0590810975237,7.0833932603966465,36.45718763310413,2.686490099527669,20.62679911970231,301.97359897493044,122.36120621381673,0.252490605556347
432.86693812531416,12.975175060280666,37.938625257327104,0.6745003485051847,19.354702408612066,285.76007222815934,95.4369930108416,0.42785844468406364
