grandeza,inicial,otimo,variacao_pct
W0 [kgf],286563.30414107547,276276.3394172155,-3.5897704190330226
W_empty [kgf],143552.39519602322,143496.1263801168,-0.039197406514601685
W_fuel [kgf],109310.90894505226,99080.21303709869,-9.359263413586906
T0 [kgf],79224.56660550459,79224.56660550459,0.0
T0req [kgf],74918.09333701454,67328.6025263727,-10.130384360558885
S_w [m2],395.24,386.47778034173234,-2.2169364584221363
b_w [m],60.49729250140042,64.13931212963185,6.02013656751188
S_h [m2],61.48177777777778,55.567316381402456,-9.619860729715379
S_v [m2],55.93018867924528,49.45614151688532,-11.575228539792803
deltaS_wlan [m2],112.84333829334906,107.73174055549174,-4.529817900786615
SM_fwd [-],0.2141529366858153,0.25204036376553035,17.69176162888668
SM_aft [-],0.09829864742767626,0.09999999992573376,1.730799499870317
CLv [-],0.6833217319608178,0.7499999993400249,9.75796089316101
tank_excess [-],0.005042681749004352,-1.623324696886641e-09,-100.00003219169437
frac_nlg_fwd [-],0.0810573516698066,0.09309871744373828,14.855365399776588
frac_nlg_aft [-],0.04957074080613422,0.05502425384786362,11.00147577591688
alpha_tipback [deg],13.497182187568276,15.000000003974144,11.134307854198289
alpha_tail [deg],10.080597987542323,9.999999999999496,-0.7995357779610912
phi_overturn [deg],48.4978537365174,42.86511218525589,-11.614414076679502
h_tail [m],19.135015372612795,18.519671904829046,-3.215798136564163
wheel_span [m],11.2,13.899999999999997,24.10714285714284
xi_mlg [-],0.9012695400525315,0.9999999995530275,10.954598498329538
L_f [m],65.09,65.09,0.0
x_te_v [m],64.84342336272383,65.0899999816488,0.38026465312552826
Lb_v [-],0.53,0.5099260081582092,-3.7875456305265676
x_te_h [m],65.47957719713351,65.09000000367647,-0.5949598487543395
Lc_h [-],4.5,4.868589376933749,8.190875042972202
