n_f,f,S_w,AR_w,sweep_w,xr_w,Cht,Lc_h,Cvt,Lb_v,x_mlg,y_mlg,z_lg,g_landing,g_SM_fwd,g_SM_aft,g_SM_aft_max,g_nlg_fwd,g_nlg_aft,g_tipback,g_tailstrike,g_overturn,g_tank,g_span,g_wheelspan,g_height,g_thrust,g_CLv,g_gear_te,g_gear_spar,g_vt_te,g_ht_te
1,1.0,395.24,9.26,0.5759586531581288,19.8,0.7,4.5,0.075,0.53,32.2,5.6,-5.7,0.28550586553321794,0.28615687771394893,0.9659729485535251,0.017013525723237444,0.5496813796121855,0.6523580268711406,-0.10018785416211484,0.00805979875423235,0.23019279783305713,0.005042681749004352,0.06783832817564839,0.1942446043165469,0.04324923136936021,0.05748241948867605,0.08890435738557623,0.09873045994746854,0.8025390801050629,0.0037882414699059413,-0.005985208129259565
2,0.9745296436670986,381.28504360104716,9.742119068625021,0.6264411726999137,18.79243231659666,0.7,4.681625663192653,0.07143158614599945,0.5352500427609662,32.25374347856512,5.854623578367983,-5.668242871809927,0.25349424580403396,0.18157561151339896,1.0730073775368343,-0.03650368876841714,0.491336903394337,0.8235985427653036,-0.0037239310262195957,-3.0436125650346035e-05,0.24683861086225822,-0.01539810789395113,0.060910672920071796,0.15760811822043408,0.0676131228673752,0.12529465114228167,0.0580281032724872,3.769529937780458e-05,0.9999246094012444,-7.163167343805145e-05,-0.000278138558644486
3,0.9699482064909992,384.7669001279953,10.01006710020407,0.6213427740891229,18.701973042669458,0.7,4.729089727058266,0.06643837669723736,0.5271125251408321,32.23672051976459,6.204369327936202,-5.6713278932678275,0.2674450304471229,0.1820126051737525,0.9981220489026763,0.0009389755486618467,0.4861767616479028,0.8338198492453452,0.0004997282818144377,-3.392768554988379e-08,0.2712548729753159,-0.00048781240079687205,0.04374735424488496,0.107284988786158,0.0786284510370272,0.15191698570728573,-0.00416242253506538,7.311656168351721e-05,0.999853766876633,0.0002145659204409823,-4.1482808015641314e-05
4,0.9663163897652356,385.3625973582101,10.348683129521001,0.6209300606018612,18.589458014081625,0.7,4.807887931512881,0.06590876020078837,0.5179423350225794,32.22871745007732,6.654969233298399,-5.6727391435838905,0.27245045283988534,0.1674647914935522,0.9990963415277909,0.0004518292361045395,0.4833114132468258,0.8338313784373375,-8.545472891863248e-06,3.695710404372221e-12,0.3011154391815707,-0.0004972687724180691,0.026955666041298953,0.04245047002900737,0.07600312423723032,0.16399595307364878,0.00011721571992007185,0.000645068345465849,0.9987098633090683,0.00021797395129059948,-7.277655420059444e-05
5,0.9641250608768062,386.07056913648665,10.602932561283385,0.6197290932899342,18.52125773999839,0.7,4.863379314241959,0.06530421253665206,0.5112755063241069,32.224013079100736,6.949999999999998,-5.673568651138829,0.27672800258921637,0.1581447880397454,0.9992112629075547,0.0003943685462226565,0.48163401649039184,0.8344816613925627,2.7779175412190327e-05,1.2608136756853128e-11,0.31946280904305957,-0.0002415063584796373,0.014170861325395023,2.220446049250313e-16,0.07467219373288159,0.17338855800308384,2.4676547637714208e-05,0.00025602592537221636,0.9994879481492556,0.00012071730961687174,-3.862828783221198e-05
6,0.964104915928554,386.31743229273945,10.626754933140907,0.618541638138449,18.538004083110355,0.7,4.866161114095476,0.06527048306963426,0.510548895894595,32.225296515565354,6.95,-5.673342346617979,0.2778827917245463,0.15897360307913744,0.9999904941418545,4.752929072759926e-06,0.4822497351507026,0.8342723081879468,1.2512959970401027e-06,-3.43836070726411e-12,0.31953757829255003,-7.216791534592204e-06,0.012748530713238226,0.0,0.07432564057999969,0.1752745559722788,3.878757048325632e-06,2.1376885676049895e-06,0.9999957246228648,1.3593151768387376e-06,-3.373201640238364e-07
7,0.9641020444981835,386.4737543365921,10.644146654855838,0.6175390893057174,18.5535521191519,0.7,4.868553200709437,0.06525397864814843,0.5099372100757259,32.22631603276544,6.95,-5.67316257823025,0.27873520608911545,0.1598502914328851,1.000000446113631,-2.230568154626411e-07,0.4827758015325304,0.8341450633802481,5.049165401338485e-07,-2.73181477439266e-12,0.3196002939088741,-4.7657256773137036e-06,0.011741107133711681,0.0,0.0740215438357541,0.17665706055306685,2.8068131597835944e-06,1.4682342464045206e-06,0.9999970635315072,7.726623006761882e-07,-1.838899424498578e-07
8,0.9641022958096697,386.47778034173234,10.644470574284451,0.617520984298587,18.553808618756847,0.7000000000000001,4.868589376933749,0.0652533576453312,0.5099260081582092,32.22633466487209,6.949999999999998,-5.6731592928945105,0.2787527408696896,0.15986545411489883,0.999999998514675,7.426624870632281e-10,0.48278490309034283,0.8341417949287875,2.649429564627326e-10,-5.040412531798211e-14,0.3196013938848271,-1.623324696886641e-09,0.011720922501820663,2.220446049250313e-16,0.07401640475854765,0.17668514766027132,8.799667661207877e-10,4.4697245904501415e-10,0.9999999991060551,2.8193580346183474e-10,-5.6482743918581655e-11
