variante,removidas,W0_kgf,ganho_pct,sucesso,S_w,AR_w,sweep_w,xr_w,Cht,Lc_h,Cvt,Lb_v,x_mlg,y_mlg,z_lg,b_w,CLv,tank_excess,g_landing,g_SM_fwd,g_SM_aft,g_SM_aft_max,g_nlg_fwd,g_nlg_aft,g_tipback,g_tailstrike,g_overturn,g_tank,g_span,g_wheelspan,g_height,g_thrust,g_CLv,g_gear_te,g_gear_spar,g_vt_te,g_ht_te,ativas
V0 referência,-,276276.3394416155,3.5897704105183337,True,386.4777784921292,10.644470327865667,35.38134698768064,18.553808387681837,0.7,4.868589340229044,0.06525335777980636,0.5099260169003001,32.22633465032735,6.95,-5.67315929545928,64.13931123374267,0.749999999999999,-1.7763568394002505e-15,0.27875272938371715,0.1598654411053424,1.0000000000000338,-1.687538997430238e-14,0.4827848954959101,0.8341417962147635,9.992007221626409e-15,4.440892098500626e-16,0.3196013929820877,-1.7763568394002505e-15,0.011720936305968155,0.0,0.07401640923814345,0.17668512894957256,1.3322676295501878e-15,-1.3322676295501878e-15,1.0000000000000027,-2.1832623621450304e-16,-2.1832623621450304e-16,"SM_aft_max, tipback, tailstrike, tank, wheelspan, CLv, gear_te, vt_te, ht_te"
V1 sem C_Lv,CLv,273335.28975438594,4.616088032045207,True,382.90300091056895,10.67402000482071,35.33617951544136,18.53299416716903,0.7,4.911549870462032,0.05,0.5180557396871323,32.14049858121602,6.949999999999998,-5.688294510361563,63.93054271336428,0.9927602437332963,-3.9879211044535623e-13,0.2798699127353366,0.15551881376200638,1.0000000000028622,-1.4310774787418268e-12,0.47982206251175596,0.8447667966345458,-7.849276784099857e-14,0.0,0.31804203991603874,-3.9879211044535623e-13,0.01493770857682164,2.220446049250313e-16,0.13613938004150494,0.19126078808389368,-0.3236803249777285,2.2226664952995634e-13,0.9999999999995555,1.790275136958925e-14,3.798876510132353e-14,"SM_aft_max, tipback, tailstrike, tank, wheelspan, gear_te, vt_te, ht_te"
V2 sem envergadura,span,276276.33944161556,3.5897704105183115,True,386.4777784922048,10.644470327874005,35.38134698765307,18.55380838768928,0.7,4.868589340230188,0.0652533577797983,0.5099260169000064,32.22633465032782,6.95,-5.673159295459195,64.13931123377407,0.7499999999999996,-9.992007221626409e-16,0.2787527293841256,0.15986544110576628,0.9999999999999951,2.4424906541753444e-15,0.48278489549616466,0.8341417962146767,-4.6629367034256575e-15,-4.440892098500626e-16,0.31960139298211787,-9.992007221626409e-16,0.01172093630548443,0.0,0.07401640923799735,0.17668512895023358,5.551115123125783e-16,4.440892098500626e-16,0.9999999999999991,0.0,-2.1832623621450304e-16,"SM_aft_max, tipback, tailstrike, tank, wheelspan, CLv, gear_te, vt_te, ht_te"
V3 sem tanque,tank,268830.10311788804,6.1882316287284915,True,320.0,11.48548938971513,35.05176160319905,19.63081935543113,0.7,5.564822821441239,0.07076501119051994,0.5397464201861832,32.09369363454653,6.95,-5.69654748529,60.62471941962983,0.7499999999709692,-0.26691998290074603,0.14927886865212744,0.15961335294224532,1.0000000000703055,-3.5152769584101407e-11,0.5052880788587228,0.8505883793111417,2.488231842789901e-12,-5.218048215738236e-15,0.31962612893005926,-0.26691998290074603,0.06587489338012598,0.0,0.1094698929520378,0.026343354429489763,3.870770370895116e-11,2.228961459849188e-11,0.9999999999554208,7.833327029140154e-12,-2.2865306718744903e-12,"SM_aft_max, tipback, tailstrike, wheelspan, CLv, gear_te, vt_te, ht_te"
"V4 Cht até 0,50",-,271594.5366348239,5.223546521812306,True,381.22440379293744,11.048636860844168,36.5354361071901,18.542389700161323,0.5,4.969452070572923,0.06469902885092678,0.4974530889870376,32.22374676811987,6.9499999999999975,-5.6736156089153615,64.89999999999992,0.7499999999997504,-4.853895063661184e-13,0.2712847935183296,0.2923026131233277,0.49381210085604255,0.2530939495719787,0.5075944324880952,0.8344611652841456,-4.4231285301066237e-13,2.886579864025407e-15,0.3217894461100408,-4.853895063661184e-13,1.3322676295501878e-15,3.3306690738754696e-16,0.07340256001683243,0.18455272645026888,3.327338404801594e-13,1.3289369604763124e-13,0.9999999999997342,-2.8600736944099895e-14,-3.231228295974645e-14,"tipback, tailstrike, tank, span, wheelspan, CLv, gear_te, vt_te, ht_te"
V5 sem trem-na-asa,gear_te,274726.7731852189,4.130511752485044,True,384.2922075115167,10.960435620786004,37.09933003040552,17.256137018683823,0.7,5.0552713385663655,0.06350845597895044,0.5148255586390607,32.05935807075535,5.6,-5.702601771584267,64.8999999999978,0.7499999999860703,-2.64124278004374e-11,0.26358129238793243,0.1812926696670153,3.27187610338342e-10,0.4999999998364062,0.42179551702260176,0.854871643995508,-1.2120859871345147e-11,1.0880185641326534e-14,0.21846497659767772,-2.64124278004374e-11,3.397282455352979e-14,0.1942446043165469,0.08225982847174629,0.15874832046170662,1.8573032001256706e-11,-0.20233175201421427,1.4046635040284285,-1.690936699481326e-12,-1.6322069419396248e-12,"SM_aft, tipback, tailstrike, tank, span, CLv, vt_te, ht_te"
