n_f,f,AR_w,S_w,g_span,b_w
1,1.0,7.5,90.0,0.1339745962155613,25.98076211353316
2,0.9999999976802229,7.500000111758709,90.0,0.13397458976316934,25.98076230710492
3,1.0000000014245323,7.5,90.00000134110451,0.13397458976316934,25.98076230710492
4,0.9787438015460723,8.66758206859231,81.39611318707466,0.11462030046526339,26.5613909860421
5,0.9787438009121049,8.667582180351019,81.39611318707466,0.11462029475727642,26.561391157281708
6,0.9787438002793319,8.66758206859231,81.39611452817917,0.114620293171385,26.56139120485845
7,0.9737239197888277,9.260214895670563,86.60003664395421,0.05605146721282095,28.318455983615372
8,0.9737239195685508,9.260215007429272,86.60003664395421,0.05605146151670748,28.318456154498776
9,0.9737239195315012,9.260214895670563,86.60003798505872,0.05605145990373839,28.318456202887848
10,0.9732007703279731,9.52659178666682,88.16852719314797,0.03393951937621442,28.98181441871357
11,0.9732007702251445,9.52659189842553,88.16852719314797,0.033939513709672076,28.981814588709838
12,0.9732007703382392,9.52659178666682,88.16852853425247,0.03393951202898904,28.981814639130327
13,0.9731019394230027,9.684370742792607,88.5056873551324,0.02411186365513196,29.276644090346043
14,0.9731019393658289,9.684370854551316,88.5056873551324,0.02411185802420357,29.276644259273894
15,0.9731019395214903,9.684370742792607,88.5056886962369,0.024111856261437747,29.27664431215687
16,0.9730226540034141,9.851729963133883,88.31701216282998,0.01676534112088779,29.497039766373366
17,0.9730226539764752,9.851730074892592,88.31701216282998,0.016765335543946658,29.4970399336816
18,0.9730226541400789,9.851729963133883,88.31701350393449,0.016765333655619274,29.497039990331423
19,0.9728862781216554,10.18445530172616,87.24746954630233,0.006371434375204044,29.80885696874388
20,0.9728862781308553,10.18445541348487,87.24746954630233,0.006371428923432676,29.80885713229702
21,0.9728862782631095,10.18445530172616,87.24747088740683,0.006371426738537078,29.80885719784389
22,0.9727974832461717,10.465503572388387,85.7186382333461,0.0016186908292495916,29.951439275122514
23,0.9727974832655337,10.465503684147096,85.7186382333461,0.0016186854985071886,29.951439435044783
24,0.9727974833229408,10.465503572388387,85.7186395744506,0.0016186830191997625,29.951439509424006
25,0.972779164397298,10.519002073025028,85.01456357646659,0.003189324507534952,29.90432026477395
26,0.9727791644072863,10.519002184783737,85.01456357646659,0.003189319212247743,29.90432042363257
27,0.972779164416708,10.519002073025028,85.0145649175711,0.003189316645192175,29.904320500644236
28,0.9727768071877251,10.485158089359656,84.95447124931214,0.005145984217339472,29.845620473479816
29,0.9727768071901182,10.485158201118365,84.95447124931214,0.005145978915388039,29.84562063253836
30,0.9727768071897155,10.485158089359656,84.95447259041664,0.0051459763648794565,29.845620709053616
31,0.972776628615508,10.466420882516406,84.98984860255565,0.005828359210154455,29.825149223695366
32,0.9727766286155148,10.466420994275115,84.98984860255565,0.005828353902354366,29.825149382929368
33,0.9727766286152464,10.466420882516406,84.98984994366016,0.00582835136634674,29.825149459009598
