ponto,AR_w,S_w,MTOW_kgf,MTOW_N,b_w
Partida,7.5,90.0,42788.945732366774,419759.5576345181,25.98076211353316
Ótimo,10.466420882516406,84.98984860255565,41624.08637154368,408332.2873048435,29.825149223695366
