AR_w_ini,S_w_ini,AR_w,S_w,b_w,W0_kgf,g_span,n_objfun,sucesso
7.5,90.0,10.46569565999733,84.99427361562492,29.82489229659801,41624.08635128137,0.005836923446733033,36,True
7.0,80.0,10.465776700503072,84.99421748770527,29.824997922218145,41624.08635140142,0.005833402592728465,36,True
12.0,120.0,10.465603469574276,84.99468154648316,29.824832507295575,41624.08635134353,0.005838916423480778,27,True
9.0,110.0,10.465855629464466,84.99392019152619,29.825058224699877,41624.086351802565,0.005831392510004085,27,True
11.0,85.0,10.465566849588713,84.99519580110686,29.824870553790603,41624.086351707265,0.005837648206979851,21,True
8.0,100.0,10.465738494057144,84.99437828791896,29.824971695314787,41624.08635129879,0.005834276822840434,42,True
12.0,80.0,10.46568563924016,84.99450182412473,29.824918057810546,41624.0863512313,0.005836064739648483,21,True
7.0,120.0,10.465742043398627,84.99402824822882,29.82491533726959,41624.08635142781,0.0058361554243470115,27,True
