caso,AR_w,S_w,b_w,W0_kgf,g_span,n_objfun,sucesso,AR_w_ini,S_w_ini
com restrição,10.46569565999733,84.99427361562492,29.82489229659801,41624.08635128137,0.005836923446733033,36,True,7.5,90.0
sem restrição,10.46569565999733,84.99427361562492,29.82489229659801,41624.08635128137,0.005836923446733033,36,True,,
