$S_w$ [m$^2$],$AR_w$,$\Lambda_w$ [deg],$\delta_w$ [deg],"$x_{r,w}$ [m]",convergiu
391.0794801097496,7.76725118982532,26.57595657231401,2.422068701386035,18.535574920130944,True
375.02504125789653,6.474188458155402,25.604667779657124,4.059913343899386,20.88175241649052,False
427.81362366935207,6.7542418185099145,15.834075333185293,4.312950880741094,19.050314732470643,False
393.85291755562827,13.339144276529453,33.78376063430052,0.9894934853187694,17.98656480401651,True
388.62755341209936,9.501319612831848,20.937890461778714,1.787774166281288,18.270174445623763,True
423.2217822615271,9.893843732611092,18.559209792512295,0.16285454002464564,19.337157399646742,True
357.8223674898311,13.851897758637506,39.28345769786836,3.7072514935577363,19.208679104245487,True
356.50852527691546,11.338018769785648,33.146615057811914,0.06031006727438602,18.120698558868405,True
425.1961821582523,10.250663243152683,39.209168640660266,3.7782998680374242,18.44491188084671,True
383.70385092059036,12.379022637418156,17.204551428607445,2.082855017041037,21.7035522807848,True
370.0238559687992,6.899996252136651,21.727213857105333,2.9870809438842665,18.695983971608328,False
430.79092592466327,8.24507854980779,36.30965074998205,0.8708341024521138,19.919273943184283,True
408.5276827758682,10.697030486853867,22.980137506303493,0.33312474352303345,21.38574313603023,True
397.2446530920354,6.265591256914185,11.512207068168381,3.1102903038236835,20.392804890848307,False
417.271820036765,12.061508840739016,12.765986608177073,1.6844219552125297,18.968560224324094,True
433.86778003749345,8.886006846836672,14.862575394027317,2.2981770079064114,19.668099157629456,False
386.22411514399295,13.427380208433892,30.72886574637561,0.4648742274425769,20.048602887839152,True
432.15387737017284,13.619314068425734,17.79493808766908,3.407315055769412,19.796999674769992,True
379.23661788618665,10.119360965643935,14.18710237617207,1.3667662992831136,19.82034506174408,False
362.50659891923846,10.900136264663388,34.24338576882508,1.1634046157407756,20.163244309836827,True
376.51337798625536,9.683768582835574,27.9966692198136,4.857335292453459,21.14740120167098,True
367.48462004594495,13.189132600691758,31.36403700791704,1.5482860924967703,20.27099361726136,True
395.44584093125997,8.638171249668048,10.855509129365542,3.567877342293852,21.204235997858053,False
360.32349362680463,7.181253650681327,24.2399107356067,0.632509720502007,21.62758829282531,False
419.4805162168356,7.367669371919397,29.726355111758284,4.418632179984566,18.720730953569753,True
372.90194391490263,10.527284826302601,10.289052193868601,4.515033727865431,19.575400883792298,False
365.40793559704275,12.534946044638842,26.021149266378245,4.625313809629857,20.97082403158964,True
367.9461907063624,9.155058686059586,35.86415256335934,3.9063841814141287,20.48230965011217,True
411.44993038666365,11.18434403311035,29.256561220474815,2.2458770633810046,21.300484268991475,True
392.07372731297903,11.766867866848695,22.662245890700408,3.190497236247436,17.918276773886387,True
401.57932607962715,11.806258171871162,24.973586780136586,4.176772004518574,20.531459939609373,True
383.3625308425505,8.446866332758988,35.30539692926385,2.543435209315538,20.670199470191537,True
400.9953318775504,12.94986719509555,31.842060706372955,4.904990535273603,20.74142403668144,True
404.8915622857313,8.157866189917065,13.028448346659124,2.857428039853387,19.177533341795606,False
413.9077156314736,7.526022426079647,20.298157998210563,1.4150749303526067,18.398502390224873,False
416.04505725180394,9.376866228306602,16.534193349928035,1.9550616755780779,18.053669330440894,True
380.50144935118647,12.743054246186414,19.236954727077652,3.3158546898251466,21.015386357888186,True
406.33522113171347,7.854805657107782,38.073065036136555,2.719079543079204,19.449147555084767,True
422.63957281636056,6.1981641200048845,28.231644028897456,0.6027698445927506,21.523375258908555,True
410.12869004888125,11.512778340304905,37.514628037432985,1.0597362366404175,18.81274639077133,True
