$S_w$ [m$^2$],$AR_w$,$\Lambda_w$ [deg],$\delta_w$ [deg],"$x_{r,w}$ [m]",$W_0$ [$10^3$ kgf],$W_f$ [$10^3$ kgf],$SM_{aft}$
391.0794801097496,7.76725118982532,26.57595657231401,2.422068701386035,18.535574920130944,346.85018434325053,158.95378200825877,-0.2452288796450985
393.85291755562827,13.339144276529453,33.78376063430052,0.9894934853187694,17.98656480401651,277.4813990173544,94.8218644966422,0.046207385942046805
388.62755341209936,9.501319612831848,20.937890461778714,1.787774166281288,18.270174445623763,375.44387967740516,177.73837329435256,-0.45193584823359445
423.2217822615271,9.893843732611092,18.559209792512295,0.16285454002464564,19.337157399646742,382.17399640874777,179.64929798764462,-0.3599315176239532
357.8223674898311,13.851897758637506,39.28345769786836,3.7072514935577363,19.208679104245487,272.88553213651005,91.05884898359051,0.4143968873030871
356.50852527691546,11.338018769785648,33.146615057811914,0.06031006727438602,18.120698558868405,276.1934670538428,100.8946211763253,-0.09523526238606289
425.1961821582523,10.250663243152683,39.209168640660266,3.7782998680374242,18.44491188084671,285.88969724123336,101.28515166854066,0.2853020017790421
383.70385092059036,12.379022637418156,17.204551428607445,2.082855017041037,21.7035522807848,379.3355210961651,176.1613773161931,-0.22317955744312312
430.79092592466327,8.24507854980779,36.30965074998205,0.8708341024521138,19.919273943184283,291.1718032363425,110.9050986501854,0.23740477033857685
408.5276827758682,10.697030486853867,22.980137506303493,0.33312474352303345,21.38574313603023,326.75832757894625,137.7398591841592,-0.040388721280877275
417.271820036765,12.061508840739016,12.765986608177073,1.6844219552125297,18.968560224324094,432.56856169472525,213.42078397138337,-0.6138296264381952
386.22411514399295,13.427380208433892,30.72886574637561,0.4648742274425769,20.048602887839152,280.36838252236214,98.7626210623962,0.12712647300449606
432.15387737017284,13.619314068425734,17.79493808766908,3.407315055769412,19.796999674769992,356.9958541690819,153.30931762026069,-0.34729160568952316
362.50659891923846,10.900136264663388,34.24338576882508,1.1634046157407756,20.163244309836827,276.33746356538774,100.83011234108285,0.17856938442101195
376.51337798625536,9.683768582835574,27.9966692198136,4.857335292453459,21.14740120167098,302.62795700125866,123.22455460265166,0.04264498490798045
367.48462004594495,13.189132600691758,31.36403700791704,1.5482860924967703,20.27099361726136,277.0541207024987,98.18280553553413,0.14275843050417775
419.4805162168356,7.367669371919397,29.726355111758284,4.418632179984566,18.720730953569753,318.65960023270947,136.34887976945228,-0.09953318609788463
365.40793559704275,12.534946044638842,26.021149266378245,4.625313809629857,20.97082403158964,298.1786031854347,116.4406503155265,-0.018744375215320186
367.9461907063624,9.155058686059586,35.86415256335934,3.9063841814141287,20.48230965011217,282.8925270839152,107.78579324446952,0.2272390558957116
411.44993038666365,11.18434403311035,29.256561220474815,2.2458770633810046,21.300484268991475,289.7556824048944,107.94262566058354,0.17890532057276062
392.07372731297903,11.766867866848695,22.662245890700408,3.190497236247436,17.918276773886387,323.54816401152283,134.8025029435171,-0.44797390254733505
401.57932607962715,11.806258171871162,24.973586780136586,4.176772004518574,20.531459939609373,306.97310964055634,121.35352901666879,-0.06034056529393375
383.3625308425505,8.446866332758988,35.30539692926385,2.543435209315538,20.670199470191537,288.7010273891969,112.55387549208763,0.22340399065613914
400.9953318775504,12.94986719509555,31.842060706372955,4.904990535273603,20.74142403668144,280.5624050058923,97.96435465848603,0.25755498463206744
416.04505725180394,9.376866228306602,16.534193349928035,1.9550616755780779,18.053669330440894,470.35222152319955,246.60944535258247,-0.5429264093813387
380.50144935118647,12.743054246186414,19.236954727077652,3.3158546898251466,21.015386357888186,351.5306634533916,155.15002530920938,-0.23843963662135745
406.33522113171347,7.854805657107782,38.073065036136555,2.719079543079204,19.449147555084767,293.0385018707264,114.1592902729405,0.22049724840767257
422.63957281636056,6.1981641200048845,28.231644028897456,0.6027698445927506,21.523375258908555,407.3000065014841,205.057259612596,0.09433458591282833
410.12869004888125,11.512778340304905,37.514628037432985,1.0597362366404175,18.81274639077133,280.84916658193845,97.26171236150326,0.2743502370240201
