,0.5%,1.0%,2.0%,5.0%
$S_w$,0.04542609271044632,0.04791885133124479,0.05275078580148819,0.06617379694786428
$AR_w$,-0.18056763230593248,-0.17820709115939007,-0.17361484834665739,-0.1607866375585769
$\Lambda_w$,-0.2108647943413079,-0.20515281036805635,-0.19390128948023663,-0.16151786234597415
"$x_{r,w}$",0.0,0.0,0.0,0.0
"$C_{h,t}$",0.05067909796410828,0.05067873157588942,0.05067806799725936,0.05067661974623776
$R$,0.8030468525355957,0.8076044418705497,0.8169944041192535,0.8476141442713825
