,$S_w$ [m$^2$],$AR_w$,$\Lambda_w$ [deg],$\delta_w$ [deg],"$x_{r,w}$ [m]",$W_0$ [$10^3$ kgf],$W_f$ [$10^3$ kgf],$SM_{aft}$
$S_w$ [m$^2$],1.0,-0.067656444743948,-0.02747383148496133,0.008227360769524749,-0.0412514570750159,0.05209379434021791,0.004012503674352611,0.07416364836840082
$AR_w$,-0.067656444743948,1.0,-0.2828163491147546,-0.023016359723543045,-0.07307535497807628,-0.022390555272036667,-0.1361156448907225,-0.14041214432145385
$\Lambda_w$ [deg],-0.02747383148496133,-0.2828163491147546,1.0,0.022359541191481123,-0.03649225831438027,-0.8193610393027548,-0.7963427154774587,0.8977845701965023
$\delta_w$ [deg],0.008227360769524749,-0.023016359723543045,0.022359541191481123,1.0,0.04143799670646706,0.006089763156055558,0.006153603256315417,0.025205331440251288
"$x_{r,w}$ [m]",-0.0412514570750159,-0.07307535497807628,-0.03649225831438027,0.04143799670646706,1.0,-0.014334825038461393,0.0014901595954468635,0.3422686166655141
$W_0$ [$10^3$ kgf],0.05209379434021791,-0.022390555272036667,-0.8193610393027548,0.006089763156055558,-0.014334825038461393,1.0,0.9910666543182638,-0.7817149385175555
$W_f$ [$10^3$ kgf],0.004012503674352611,-0.1361156448907225,-0.7963427154774587,0.006153603256315417,0.0014901595954468635,0.9910666543182638,1.0,-0.7796692426986558
$SM_{aft}$,0.07416364836840082,-0.14041214432145385,0.8977845701965023,0.025205331440251288,0.3422686166655141,-0.7817149385175555,-0.7796692426986558,1.0
