variante,removidas,W0_kgf,ganho_pct,sucesso,S_w,AR_w,sweep_w,xr_w,Cht,Cvt,x_mlg,y_mlg,z_lg,b_w,CLv,tank_excess,g_landing,g_SM_fwd,g_SM_aft,g_SM_aft_max,g_nlg_fwd,g_nlg_aft,g_tipback,g_tailstrike,g_overturn,g_tank,g_span,g_wheelspan,g_height,g_thrust,g_CLv,g_gear_te,g_gear_spar,ativas
V0 referência,-,276769.3567493688,3.4177255950696095,True,388.0415752984432,10.770243828070681,35.15985003728281,18.633221337118517,0.7,0.06483304978270692,32.24205692705152,6.949999999999998,-5.670387033874609,64.64752417063535,0.7499999999612038,-9.190992411589605e-11,0.28274172863869146,0.0031014366204354937,0.9999999999692304,1.5384804541440644e-11,0.4879416731223134,0.8322028042624154,1.3288481426343424e-11,-1.2434497875801753e-14,0.32030223538573643,-9.190992411589605e-11,0.003890228495603276,2.220446049250313e-16,0.08357465693782573,0.1810298570191753,5.172828831945253e-11,2.7504110100551316e-11,0.9999999999449918,"SM_aft_max, tipback, tailstrike, tank, wheelspan, CLv, gear_te"
V1 sem C_Lv,CLv,274241.8972205521,4.299715540150784,True,385.2208396851832,10.826186823107781,35.036609272766235,18.630006137900775,0.7,0.05,32.160965140321345,6.95,-5.684685703789018,64.57919772330905,0.9837724729256501,-4.73321382088443e-12,0.28499117368564303,6.19004847379756e-12,0.9999999999516385,2.4180768498638372e-11,0.4858815139748034,0.8422273866964327,2.228217610422689e-12,-4.3298697960381105e-15,0.3188954949219216,-4.73321382088443e-12,0.004943024294159604,0.0,0.1396655253921797,0.19570568784603481,-0.3116966305675335,8.570921750106208e-14,0.9999999999998286,"SM_fwd, SM_aft_max, tipback, tailstrike, tank, wheelspan, gear_te"
V2 sem envergadura,span,276769.3567493689,3.417725595069576,True,388.04157529836107,10.770243828061481,35.159850037312246,18.633221337110523,0.7,0.06483304978271621,32.24205692705099,6.95,-5.670387033874704,64.6475241706009,0.7499999999612039,-9.19094800266862e-11,0.2827417286382571,0.0031014366198878207,0.9999999999692166,1.539168792419332e-11,0.48794167312203784,0.8322028042625023,1.3299139567379825e-11,-1.2101430968414206e-14,0.3203022353857037,-9.19094800266862e-11,0.003890228496134074,0.0,0.08357465693783639,0.1810298570184652,5.1728066274847606e-11,2.7502777832921765e-11,0.9999999999449944,"SM_aft_max, tipback, tailstrike, tank, wheelspan, CLv, gear_te"
V3 sem tanque,tank,270540.11720631976,5.591499924521914,True,320.00000000000017,11.664732194893213,35.01751425912194,19.705736919905178,0.7000000000000001,0.06984083830570662,32.113159294967915,6.949999999999996,-5.693115164160417,61.09594341988534,0.7500000000000259,-0.2776777154595733,0.14474236858461406,0.009135235273952658,0.9999999999997002,1.4988010832439613e-13,0.5126021721762594,0.8481648415336029,2.020605904817785e-14,4.440892098500626e-16,0.32057351320739935,-0.2776777154595733,0.05861412296016433,6.661338147750939e-16,0.1085557503198864,0.014360658828261208,-3.441691376337985e-14,2.8310687127941492e-14,0.9999999999999434,"SM_aft_max, tipback, tailstrike, wheelspan, CLv, gear_te"
"V4 Cht até 0,50",-,271861.68684535247,5.130320973855529,True,381.31132698194847,11.046118229262731,36.78663329418746,18.725262322766955,0.5000000000000004,0.06442890443605953,32.28548796099496,6.6534828025863195,-5.662824210975227,64.8999999999974,0.7499999999922817,-1.457078901978548e-11,0.26840380847218615,0.09805229666343418,0.9999704726920726,1.4763653963689727e-05,0.5255976992601052,0.8272051759777079,0.00016540949806120864,3.478462189776543e-05,0.30566268585136525,-1.457078901978548e-11,4.007905118896815e-14,0.04266434495160876,0.08931683433214277,0.1787166440603365,1.0290990282157964e-11,0.00029318613722251197,0.999413627725555,"SM_aft_max, tailstrike, tank, span, CLv"
V5 sem trem-na-asa,gear_te,275991.44809692487,3.689186958476054,True,385.9597508625844,10.913080938067893,36.84248440582026,17.61616871073083,0.7,0.06343186662274727,32.85095301954469,5.6,-5.7,64.89999999999924,0.7499999999969161,-5.824229987183571e-12,0.26587905160920816,0.01929546802054516,0.2701993351190406,0.3649003324404797,0.32229028625196265,1.602683412706471,0.4103992102003833,0.05187528747356618,0.21009629358424664,-5.824229987183571e-12,1.1879386363489175e-14,0.1942446043165469,0.08823849159283093,0.15704661011284426,4.11182199400173e-12,-0.2520825702513565,1.504165140502713,"tank, span, CLv"
