n_f,f,S_w,AR_w,sweep_w,xr_w,Cht,Cvt,x_mlg,y_mlg,z_lg,g_landing,g_SM_fwd,g_SM_aft,g_SM_aft_max,g_nlg_fwd,g_nlg_aft,g_tipback,g_tailstrike,g_overturn,g_tank,g_span,g_wheelspan,g_height,g_thrust,g_CLv,g_gear_te,g_gear_spar
1,1.0,395.24,9.26,0.5759586531581288,19.8,0.7,0.075,32.2,5.6,-5.7,0.28550586553321794,0.14338825325673876,0.9659729485535251,0.017013525723237444,0.5496813796121855,0.6523580268711406,-0.10018785416211484,0.00805979875423235,0.23019279783305713,0.005042681749004352,0.06783832817564839,0.1942446043165469,0.04324923136936021,0.05748241948867605,0.08890435738557623,0.09873045994746854,0.8025390801050629
2,0.9759650649028613,383.4112719379109,9.879041482809505,0.6206486314861909,18.881679644652884,0.7,0.07163281729715404,32.270499426799994,5.863835558558213,-5.6652640364443245,0.26015477251626723,0.026909436828812194,1.0766565828821104,-0.03832829144105521,0.4962074860327046,0.8212613826242103,-0.0038676638113729345,-3.9339512212577255e-05,0.24820749673435383,-0.013275941136304703,0.05170132001843686,0.15628265344486147,0.06345381155080398,0.1336432471935971,0.06671942118841212,-0.00010617196008966268,1.0002123439201793
3,0.9713169241950111,386.84824560272614,10.21111919140048,0.6133538166826286,18.83102544433913,0.7,0.06686857369469773,32.25699387844934,6.23618257128595,-5.667753150690634,0.27510396684745464,0.030631288955747404,0.9974020711453129,0.001298964427343563,0.49250740498507306,0.8314686724592515,0.0005769928755188225,-3.486649646777806e-08,0.27434065507394934,-0.0007587269081397174,0.03158325153898034,0.10270754369986324,0.07733826381267672,0.1623086697906635,0.00989545164602701,9.711541859847017e-05,0.9998057691628031
4,0.9667817433126062,387.5177884358545,10.636837589248223,0.613838733895482,18.67839546640879,0.7,0.06516957689706804,32.24399589969812,6.803614418242677,-5.670045140696752,0.28060293444895185,0.009022562529883538,1.0009252821934789,-0.00046264109673943565,0.48897669417767586,0.8319262934706262,-1.956528518631817e-05,5.303313344029448e-12,0.3113287012517063,-0.0006874639944330907,0.01074697087558385,0.021062673634147155,0.08272152396911847,0.17643336250116692,-0.0001737342754608573,0.0010862716188391186,0.9978274567623218
5,0.9658252552040827,387.9243362618088,10.75809335176103,0.6142926282323234,18.623858020498215,0.7,0.06484800607561608,32.24137725900988,6.95,-5.670506877707642,0.28216917266687347,0.002443860741446313,1.0001338364408574,-6.691822042870221e-05,0.48762080424157883,0.8322736697071562,-6.728705402303525e-06,7.040368288357968e-12,0.3202631423181924,-5.504290821511937e-05,0.004602672691341847,0.0,0.08358491242697785,0.1800919841974138,4.834405357811988e-06,7.554598841219562e-05,0.9998489080231756
6,0.96582301337529,387.9899325488126,10.7644766335527,0.6139776763021068,18.62820425287661,0.7,0.0648388836406943,32.24171527715645,6.949999999999998,-5.670447275966604,0.282468754440985,0.0027551297805371577,0.999999347473524,3.2626323798190526e-07,0.4877704774275742,0.8322450979100202,9.49739198397026e-08,-9.091616348655407e-13,0.3202816942426093,-4.994819706727327e-07,0.0042232284582711666,2.220446049250313e-16,0.0835814407519283,0.18058349212375457,2.6601957803240595e-07,1.4776015666573272e-07,0.9999997044796867
