variavel,label,unidade,inicial,otimo,lim_inf,lim_sup,variacao_pct,inicial_si,otimo_si
S_w,$S_w$,m$^2$,395.24,387.9899325488126,320.0,470.0,-1.8343455751410276,395.24,387.9899325488126
AR_w,$AR_w$,-,9.26,10.7644766335527,7.5,12.0,16.24704787853888,9.26,10.7644766335527
sweep_w,$\Lambda_w$,deg,33.0,35.17832956736014,25.0,40.0,6.6009986889701056,0.5759586531581288,0.6139776763021068
xr_w,"$x_{r,w}$",m,19.8,18.62820425287661,17.0,23.0,-5.9181603390070165,19.8,18.62820425287661
Cht,$C_{ht}$,-,0.7,0.7,0.7,1.1,0.0,0.7,0.7
Cvt,$C_{vt}$,-,0.075,0.0648388836406943,0.05,0.12,-13.548155145740925,0.075,0.0648388836406943
x_mlg,$x_{mlg}$,m,32.2,32.24171527715645,29.0,36.0,0.12955055017531691,32.2,32.24171527715645
y_mlg,$y_{mlg}$,m,5.6,6.949999999999998,4.0,6.95,24.10714285714284,5.6,6.949999999999998
z_lg,$z_{lg}$,m,-5.7,-5.670447275966604,-7.0,-4.5,-0.5184688426911666,-5.7,-5.670447275966604
